Mention	Mention	np1	Mention	Mention	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
shippe	shippe	n1	ship	ship	0
gliding	gliding	vvg	gliding	glide	0
and	and	cc	and	and	0
passing	passing	vvg	passing	pass	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
waves	waves	n2	waves	wave	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
easie	easie	j	easy	easy	0
and	and	cc	and	and	0
nimble	nimble	j	nimble	nimble	0
course	course	n1	course	course	0
arrived	arrived	vvd	arrived	arrive	0
suddenly	suddenly	av-j	suddenly	sudden	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
haven	haven	n1	haven	haven	0
of	of	pp-f	of	of	0
Joppa	Joppa	np1	Joppa	Joppa	0
,	,	,	,	,	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
frustrated	frustrated	vvn	frustrated	frustrate	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
purpose	purpose	n1	purpose	purpose	0
;	;	;	;	;	0
and	and	cc	and	and	0
sixe	sixe	crd	sixe	six	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saracens	Saracens	np2	Saracens	Saracen	0
were	were	vbdr	were	be	0
hurt	hurt	vvn	hurt	hurt	0
and	and	cc	and	and	0
wounded	wounded	vvn	wounded	wound	0
by	by	p-acp	by	by	0
shot	shot	n1	shot	shot	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
shippe	shippe	n1	ship	ship	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
King	King	n1	King	king	0
entering	entering	vvg	entering	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
nowe	nowe	av	now	now	0
appearing	appearing	vvg	appearing	appear	0
in	in	p-acp	in	in	0
safetie	safetie	n1	safety	safety	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
their	their	po32	their	their	0
sightes	sightes	n2	sights	sight	0
,	,	,	,	,	0
the	the	dt	the	the	0
spirits	spirits	n2	spirits	spirit	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
mourned	mourned	vvd	mourned	mourn	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
until	until	c-acp	until	until	0
then	then	av	then	then	0
lamented	lamented	vvn	lamented	lament	0
as	as	c-acp	as	as	0
though	though	cs	though	though	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
revived	revived	vvn	revived	revive	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
the	the	dt	the	the	0
head	head	n1	head	head	0
and	and	cc	and	and	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christians	Christians	njpg2	Christians	christian	0
,	,	,	,	,	0
and	and	cc	and	and	0
prince	prince	n1	prince	prince	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
was	was	vbds	was	be	0
yet	yet	av	yet	yet	0
alive	alive	j	alive	alive	0
,	,	,	,	,	0
and	and	cc	and	and	0
come	come	vvb	come	come	0
againe	againe	av	again	again	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
perfect	perfect	j	perfect	perfect	0
health	health	n1	health	health	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
