Another	Another	j-jn	Another	another	0
his	his	po31	his	his	0
faithfull	faithfull	j	faithful	faithful	0
liege	liege	n1	liege	liege	0
people	people	n1	people	people	0
be	be	vbi	be	be	0
greatly	greatly	av-j	greatly	great	0
impoverished	impoverished	vvd	impoverished	impoverish	0
,	,	,	,	,	0
undone	undone	vvn	undone	undo	0
,	,	,	,	,	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
destroyed	destroyed	vvn	destroyed	destroy	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
&	&	cc	&	and	0
his	his	po31	his	his	0
lieges	lieges	ng2	lieges'	liege	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
amitie	amitie	n1	amity	amity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
daily	daily	av-j	daily	daily	0
take	take	vvi	take	take	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
said	said	j-vvn	said	say	0
faithful	faithful	j	faithful	faithful	0
subjects	subjects	n2-jn	subject's	subject	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
of	of	pp-f	of	of	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
York	York	np1	York	York	0
and	and	cc	and	and	0
Kingston	Kingston	np1	Kingston	Kingston	0
upon	upon	p-acp	upon	upon	0
Hui	Hui	fw-fr	Hui	hui	0
goods	goods	n2-j	goods	good	0
&	&	cc	&	and	0
marchandises	marchandises	n2	merchandises	merchandise	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
valour	valour	n1	valour	valour	0
of	of	pp-f	of	of	0
v.	v.	n1	v.	v.	0
M.li	M.li	crd	M.li	m.li	0
.	.	.	.	.	0
within	within	p-acp	within	within	0
a	a	dt	a	a	0
yeere	yeere	n1	year	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
lieges	lieges	ng2	lieges'	liege	0
&	&	cc	&	and	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
goods	goods	n2-j	goods	good	0
&	&	cc	&	and	0
cattals	cattals	n2	cattals	cattal	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
valour	valour	n1	valour	valour	0
of	of	pp-f	of	of	0
xx	xx	n1	xx	sheet	0
.	.	.	.	.	1
M.li	M.li	crd	M.li	m.li	0
.	.	.	.	.	0
wherof	wherof	c-crq	whereof	whereof	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
remedie	remedie	n1	remedy	remedy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
of	of	pp-f	of	of	0
none	none	pi	none	none	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
commeth	commeth	vvz	comes	come	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
nothing	nothing	pix	nothing	nothing	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	cst	that	that	0
ye	ye	dt	the	the	0
goods	goods	n2-j	goods	good	0
be	be	vbb	be	be	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Realme	Realme	n1	Realm	realm	0
:	:	:	:	:	0
The	The	dt	The	the	0
king	king	n1	king	king	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
provide	provide	vvi	provide	provide	0
remedy	remedy	n1	remedy	remedy	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
said	said	j-vvn	said	say	0
liege	liege	n1	liege	liege	0
people	people	n1	people	people	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
ordeined	ordeined	vvn	ordained	ordain	0
&	&	cc	&	and	0
established	established	vvn	established	establish	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
ye	ye	dt	the	the	0
goods	goods	n2-j	goods	good	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
ye	ye	pn22	you	you	0
said	said	vvd	said	say	0
his	his	po31	his	his	0
lieges	lieges	ng2	lieges'	liege	0
be	be	vbi	be	be	0
or	or	cc	or	or	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
or	or	cc	or	or	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
said	said	j-vvn	said	say	0
lieges	lieges	ng2	lieges'	liege	0
,	,	,	,	,	0
the	the	dt	the	the	0
keeper	keeper	n1	keeper	keeper	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
privie	privie	j	privy	privy	0
seale	seale	n1	seal	seal	0
for	for	p-acp	for	for	0
ye	ye	pn22	you	you	0
time	time	n1	time	time	0
being	being	vbg	being	be	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
to	to	p-acp	to	to	0
ye	ye	pn22	you	you	0
partie	partie	n1	party	party	0
grieved	grieved	vvn	grieved	grieve	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
request	request	n1	request	request	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
privie	privie	j	privy	privy	0
seale	seale	n1	seal	seal	0
,	,	,	,	,	0
w‘out	w‘out	vvb	w‘out	w‘out	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
pursuite	pursuite	n1	pursuit	pursuit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
for	for	p-acp	for	for	0
restitution	restitution	n1	restitution	restitution	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
goods	goods	n2-j	goods	good	0
so	so	av	so	so	0
taken	taken	vvn	taken	take	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
restitution	restitution	n1	restitution	restitution	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
n	n	wd	n	n	0
113	113	crd	113	113	0
H	H	zz	H	h	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
such	such	d	such	such	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
the	the	dt	the	the	0
king	king	n1	king	king	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
advise	advise	n1	advice	advice	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
counsel	counsel	n1	counsel	counsel	0
shal	shal	vmb	shall	shall	0
provide	provide	vvi	provide	provide	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
partie	partie	n1	party	party	0
grieved	grieved	vvd	grieved	grieve	0
his	his	po31	his	his	0
covenable	covenable	j	covenable	covenable	0
remedy	remedy	n1	remedy	remedy	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
ye	ye	pn22	you	you	0
case	case	n1	case	case	0
requireth	requireth	vvz	requires	require	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Incipit	Incipit	fw-la	Incipit	incipit	0
liber	liber	fw-la	liber	libre	0
de	de	fw-la	de	de	0
custodia	custodia	fw-la	custodia	custodia	0
Maris	Maris	fw-la	Maris	maris	0
praserAm	praserAm	np1	praserAm	praserAm	0
arcti	arcti	fw-la	arcti	arcti	0
inter	inter	fw-la	inter	inter	0
Doveram	Doveram	np1	Doveram	Doveram	0
13	13	crd	13	13	0
Galisiam	Galisiam	np1	Galisiam	Galisiam	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Sigismond	Sigismond	np1	Sigismond	Sigismond	0
died	died	vvd	died	die	0
•438-He	•438-He	j	•438-He	•438-he	0
was	was	vbds	was	be	0
here	here	av	here	here	0
14.16	14.16	crd	14.16	14.16	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Videns	Videns	fw-la	Videns	videns	0
imperator	imperator	fw-la	imperator	imperator	0
Sigismun-dus	Sigismun-dus	j	Sigismun-dus	sigismun-dus	0
duas	duas	fw-la	duas	duas	0
villas	villas	n2	villas	villa	0
inter	inter	fw-la	inter	inter	0
cateras	cateras	n2-av	cateras	catera	0
singlice	singlice	n1	singlice	singlice	0
scilicet	scilicet	fw-la	scilicet	scilicet	0
Cait	Cait	vvb	Cait	cait	0
st	st	zz	st	st	0
am	am	vbm	am	be	0
i3	i3	n1	i3	i3	0
Doveream	Doveream	n1	Doveream	doveream	0
,	,	,	,	,	0
ponens	ponens	fw-la	ponens	ponens	0
suos	suos	fw-la	suos	suos	0
duos	duos	fw-la	duos	duos	0
digitos	digitos	fw-la	digitos	digitos	0
super	super	fw-la	super	super	0
duos	duos	fw-la	duos	duos	0
suos	suos	fw-la	suos	suos	0
oculos	oculos	fw-la	oculos	oculos	0
,	,	,	,	,	0
ait	ait	fw-fr	ait	ait	0
reg	reg	n1	reg	reg	0
:	:	:	:	:	0
Frater	Frater	fw-la	Frater	frater	0
,	,	,	,	,	0
custodite	custodite	n1	custodite	custodite	0
istas	istas	fw-la	istas	istas	0
duas	duas	fw-la	duas	duas	0
villas	villas	n2	villas	villa	0
sicut	sicut	fw-la	sicut	sicut	0
duos	duos	fw-la	duos	duos	0
vestros	vestros	fw-la	vestros	vestros	0
oculos	oculos	fw-la	oculos	oculos	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Noble	Noble	j	Noble	noble	0
was	was	vbds	was	be	0
coined	coined	vvn	coined	coin	0
by	by	p-acp	by	by	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
third	third	ord	third	three	0
.	.	.	.	.	1
Anno	Anno	fw-la	Anno	anno	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
