How	How	c-crq	How	how	0
meanest	meanest	js	meanest	mean	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Minorites	Minorites	n2	Minorites	minorite	0
order	order	n1	order	order	0
,	,	,	,	,	0
wisheth	wisheth	vvz	wishes	wish	0
health	health	n1	health	health	0
&	&	cc	&	and	0
continual	continual	j	continual	continual	0
triumph	triumph	n1	triumph	triumph	0
in	in	p-acp	in	in	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
Ecclesi	Ecclesi	np1	Ecclesi	Ecclesi	0
-	-	-	-	-	0
Ecclus.	Ecclus.	np1	Ecclus.	Ecclus.	1
39.	39.	crd	39.	39	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
asticus	asticus	fw-la	asticus	asticus	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
man	man	n1	man	man	0
:	:	:	:	:	0
He	He	pns31	He	he	0
shall	shall	vmb	shall	shall	0
travell	travell	vvi	travel	travel	0
ver	ver	p-acp	for	for	0
-	-	-	-	-	0
+•	+•	n1	+•	+•	0
into	into	p-acp	into	into	0
forren	forren	j	foreign	foreign	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
and	and	cc	and	and	0
evill	evill	j-jn	evil	evil	0
shall	shall	vmb	shall	shall	0
he	he	pns31	he	he	0
trie	trie	vvi	try	try	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
.	.	.	.	.	1
The	The	dt	The	the	0
very	very	j	very	very	0
same	same	d	same	same	0
action	action	n1	actium	action	0
(	(	(	(	(	0
my	my	po11	my	my	0
lord	lord	n1	lord	lord	0
and	and	cc	and	and	0
king	king	n1	king	king	0
)	)	)	)	)	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
atchieved	atchieved	vvd	achieved	achieve	0
:	:	:	:	:	0
howbeit	howbeit	cs	howbeit	howbeit	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
wise	wise	j	wise	wise	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
foole	foole	n1	fool	fool	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
many	many	d	many	many	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
performe	performe	vvb	perform	perform	0
the	the	dt	the	the	0
same	same	d	same	same	0
action	action	n1	actium	action	0
which	which	r-crq	which	which	0
a	a	dt	a	a	0
wise	wise	j	wise	wise	0
man	man	n1	man	man	0
doth	doth	vdz	does	do	0
,	,	,	,	,	0
not	not	xx	not	not	0
wisely	wisely	av-j	wisely	wise	0
but	but	p-acp	but	but	0
more	more	dc	more	more	0
undiscreetly	undiscreetly	av-j	undiscreetly	undiscreet	0
:	:	:	:	:	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
number	number	n1	number	number	0
I	I	pns11	I	i	0
feare	feare	vvb	fear	fear	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
one	one	pi	one	one	0
.	.	.	.	.	1
Notwithstanding	Notwithstanding	a-acp	Notwithstanding	notwithstanding	0
howsoever	howsoever	c-acp	howsoever	howsoever	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
commanded	commanded	vvd	commanded	command	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
all	all	d	all	all	0
things	things	n2	things	thing	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
see	see	vvi	see	see	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Tartars	Tartars	np2	Tartars	Tartar	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
wished	wished	vvd	wished	wish	0
me	me	pno11	me	i	0
also	also	av	also	also	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
feare	feare	vvi	fear	fear	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
long	long	j	long	long	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
majestie	majestie	n1	majesty	majesty	0
injoined	injoined	vvd	enjoined	enjoin	0
me	me	pno11	me	i	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
with	with	p-acp	with	with	0
feare	feare	n1	fear	fear	0
and	and	cc	and	and	0
reverence	reverence	n1	reverence	reverence	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
want	want	vvb	want	want	0
wordes	wordes	n2	words	word	0
and	and	cc	and	and	0
eloquence	eloquence	n1	eloquence	eloquence	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
unto	unto	p-acp	unto	unto	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
majestie	majestie	n1	majesty	majesty	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
it	it	pn31	it	it	0
knowen	knowen	vvn	known	know	0
therefore	therefore	av	therefore	therefore	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
sacred	sacred	j	sacred	sacred	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeare	yeare	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1253.	1253.	crd	1253.	1253.	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Nones	Nones	n1	Nonce	nonce	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
we	we	pns12	we	we	0
entered	entered	vvd	entered	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
of	of	pp-f	of	of	0
Pontus	Pontus	np1	Pontus	Pontus	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Bulgarians	Bulgarians	njp2	Bulgarians	bulgarian	0
call	call	vvb	call	call	0
the	the	dt	the	the	0
great	great	j	great	great	0
sea	sea	n1	sea	sea	0
.	.	.	.	.	1
It	It	pn31	It	it	0
containeth	containeth	vvz	containeth	contain	0
in	in	p-acp	in	in	0
length	length	n1	length	length	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
learned	learned	vvd	learned	learn	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
merchants	merchants	n2	merchant's	merchant	0
)	)	)	)	)	0
1008	1008	crd	1008	1008	0
miles	miles	n2	miles	mile	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
maner	maner	n1	manner	manner	0
,	,	,	,	,	0
divided	divided	vvn	divided	divide	0
into	into	p-acp	into	into	0
two	two	crd	two	two	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
About	About	p-acp	About	about	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
thereof	thereof	av	thereof	thereof	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
provinces	provinces	n2	provinces	province	0
,	,	,	,	,	0
one	one	pi	one	one	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	j-jn	another	another	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
South	South	n1	South	south	0
.	.	.	.	.	1
The	The	dt	The	the	0
South	South	n1	South	south	0
province	province	n1	province	province	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Synopolis	Synopolis	np1	Synopolis	Synopolis	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
castle	castle	n1	castle	castle	0
and	and	cc	and	and	0
porte	porte	n1	port	port	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Soldan	Soldan	n1	Soldan	sultan	0
of	of	pp-f	of	of	0
Turkie	Turkie	n1	Turkey	turquoise	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
North	North	n1	North	north	0
province	province	n1	province	province	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Latines	Latines	np1	Latines	Latines	0
,	,	,	,	,	0
Gasaria	Gasaria	np1	Gasaria	Gasaria	0
:	:	:	:	:	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Greeks	Greeks	np1	Greeks	Greeks	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
229	229	crd	229	229	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
inhabite	inhabite	vvi	inhabit	inhabit	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
shore	shore	n1	shore	shore	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Cassaria	Cassaria	np1	Cassaria	Cassaria	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
Caesaria	Caesaria	np1	Caesaria	Caesaria	0
.	.	.	.	.	1
And	And	cc	And	and	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
certaine	certaine	j	certain	certain	0
head	head	n1	head	head	0
lands	lands	n2	lands	land	0
stretching	stretching	vvg	stretching	stretch	0
foorth	foorth	av	forth	forth	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
towards	towards	p-acp	towards	towards	0
Synopolis	Synopolis	np1	Synopolis	Synopolis	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
300.	300.	crd	300.	300.	0
miles	miles	n2	miles	mile	0
of	of	pp-f	of	of	0
distance	distance	n1	distance	distance	0
betweene	betweene	p-acp	between	between	0
Synopolis	Synopolis	np1	Synopolis	Synopolis	0
and	and	cc	and	and	0
Cassaria	Cassaria	np1	Cassaria	Cassaria	0
.	.	.	.	.	1
Insomuch	Insomuch	av	Insomuch	insomuch	0
that	that	cst	that	that	0
the	the	dt	the	the	0
distance	distance	n1	distance	distance	0
from	from	p-acp	from	from	0
those	those	d	those	those	0
points	points	n2	points	point	0
or	or	cc	or	or	0
places	places	n2	places	place	0
to	to	p-acp	to	to	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
length	length	n1	length	length	0
and	and	cc	and	and	0
breadth	breadth	n1	breadth	breadth	0
is	is	vbz	is	be	0
about	about	p-acp	about	about	0
700.	700.	crd	700.	700.	0
miles	miles	n2	miles	mile	0
:	:	:	:	:	0
and	and	cc	and	and	0
700.	700.	crd	700.	700.	0
miles	miles	n2	miles	mile	0
also	also	av	also	also	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
East	East	n1	East	east	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Hiberia	Hiberia	fw-la	Hiberia	hiberia	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
province	province	n1	province	province	0
of	of	pp-f	of	of	0
Gasaria	Gasaria	np1	Gasaria	Gasaria	0
.	.	.	.	.	1
Georgia	Georgia	np1	Georgia	Georgia	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
the	the	dt	the	the	0
province	province	n1	province	province	0
of	of	pp-f	of	of	0
Gasaria	Gasaria	np1	Gasaria	Gasaria	0
or	or	cc	or	or	0
Cassaria	Cassaria	np1	Cassaria	Cassaria	0
we	we	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
province	province	n1	province	province	0
is	is	vbz	is	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
maner	maner	n1	manner	manner	0
,	,	,	,	,	0
three	three	crd	three	three	0
square	square	j-jn	square	square	0
,	,	,	,	,	0
having	having	vhg	having	have	0
a	a	dt	a	a	0
citie	citie	n1	city	city	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
West	West	n1	West	west	0
part	part	vvb	part	part	0
thereof	thereof	av	thereof	thereof	0
called	called	vvn	called	call	0
Kersova	Kersova	np1	Kersova	Kersova	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
S.	S.	n1	S.	saint	0
Clement	Clement	np1	Clement	Clement	0
suffered	suffered	vvd	suffered	suffer	0
martyrdome	martyrdome	n1	martyrdom	martyrdom	0
.	.	.	.	.	1
And	And	np1	And	And	0
sayling	sayling	vvg	sailing	sail	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
citie	citie	n1	city	city	0
,	,	,	,	,	0
we	we	pns12	we	we	0
sawe	sawe	vvd	saw	see	0
an	an	dt	and	a	0
island	island	n1	island	island	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
a	a	dt	a	a	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
sayd	sayd	vvn	said	say	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
built	built	vvn	built	build	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
angels	angels	n2	angels	angel	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
province	province	n1	province	province	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
South	South	n1	South	south	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
sharpe	sharpe	j	sharp	sharp	0
angle	angle	n1	angle	angle	0
or	or	cc	or	or	0
point	point	n1	point	point	0
,	,	,	,	,	0
standeth	standeth	vvz	stands	stand	0
a	a	dt	a	a	0
citie	citie	n1	city	city	0
called	called	vvd	called	call	0
