vol,chap,sect_frac,geog,date,title,pages,word,tag1,tag2,nat,expl,hostil,enc,enc_min,viol_num,viol_ratio,v_r_decil
1,38,1,NNE-,1229,A_mandate_for_the_king_of_Norway_his_ship_called_The_Cog,322-323,102,doc,norway,,,,,,1,0.009803922,0.6
1,39,1,NNE-,1236,A_Charter_granted_for_the_behalfe_of_the_Merchants_of_Colen_in_the_20_yeere_of_Henry_the_thirde,323-324,239,doc,"granted, charter",,,,,,0,0,0
1,40,1,NNE-,1257,The_Charter_of_Lubeck_granted_for_seven_yeeres_in_the_time_of_Henry_the_third,324-325,315,doc,"granted, charter",,,,,,1,0.003174603,0.3
1,41,1,NNE-,1260,A_Charter_of_the_Merchants_of_Almaine_or_the_Stilyard-merchants,326-327,167,doc,charter,,,,,,0,0,0
1,42,1,NNE-,1303,A_mandate_of_King_Edward_the_first_concerning_outlandish_Merchants,327-327,37,doc,,,,,,,0,0,0
1,43,1,NNE-,1303,King_Edw_the_first_his_great_Charter_granted_to_forreine_Merchants_Anno_Dom_1303,327-339,2109,doc,"granted, charter",,,,,,7.5,0.003556188,0.3
1,44,1,NNE-,1313,The_letters_of_Edward_the_second_unto_Haquinus_King_of_Norway_concerning_certain_English_Merchants_a,339-343,692,doc,"letter, england, norway",,,,,,4,0.005780347,0.4
1,45,1,NNE-,1313,Another_letter_of_Edw_the_second_unto_the_said_Haquinus_for_the_merchants_aforesaid,343-344,305,doc,letter,,,,,,1,0.003278689,0.3
1,46,1,NNE-,1313,A_third_letter_of_King_Edward_the_second_to_the_said_Haquinus_in_the_behalfe_of_our_English_merchant,344-349,940,doc,"letter, england",,,,,,11,0.011702128,0.7
1,47,1,NNE-,1320,An_Ordinance_for_the_Staple_to_be_holden_at_one_certaine_place,350-355,966,doc,,,,,,,4,0.004140787,0.3
2,1,1,NNE-,1262,A_Catalogue_of_the_great_Masters_of_Prussia,001-011,3505,doc,"russia, prussia, catalogue",,,,,,122.5,0.034950071,0.9
2,2,1,NNE-,1388,The_Oration_or_speach_of_the_Ambassadours_sent_from_Conradus_de_Zolner_Master_generall_of_the_land_o,012-018,2070,doc,oration,,,,,,17.5,0.008454106,0.6
2,3,1,NNE-,1390,An_agreement_made_by_the_Ambassadours_of_England_and_Prussia_confirmed_by_king_Richard_the_second,018-024,2154,doc,"england, russia, prussia, agreement",,,,,,11.5,0.005338904,0.4
2,4,1,NNE-,1398,The_letters_of_Conradus_de_Jungingen_Master_generall_of_Prussia_unto_Rich_the_second,025-027,718,doc,"letter, russia, prussia",,,,,,8,0.011142061,0.7
2,5,1,NNE-,1407,A_briefe_relation_of_William_Esturmy_and_John_Kington_concerning_their_Ambassages_into_Prussia_and_t,027-033,1984,doc,"russia, relation, prussia, ambassage",,,,,,11.5,0.005796371,0.4
2,6,1,NNE-,1407,Certaine_Articles_of_complaint_exhibited_by_the_Livonians,033-034,508,doc,article,,,,,,0,0,0
2,7,1,NNE-,1407,Other_complaints_exhibited_by_the_Cities_of_the_Hans,034-036,690,doc,,,,,,,6,0.008695652,0.6
2,8,1,NNE-,1403,Compositions_and_Ordinances_concluded_betweene_the_Ambassadours_of_Prussia_and_the_Chanceller_and_Tr,036-038,672,doc,"russia, prussia",,,,,,3.5,0.005208333,0.4
2,9,1,NNE-,1403,The_letters_of_the_Chanceller_and_Treasurer_of_England_unto_Conradus_de_Jungingen_master_generall_of,038-041,795,doc,"letter, england",,,,,,3,0.003773585,0.3
2,10,1,NNE-,1404,The_letters_of_king_Henry_the_fourth_unto_Conradus_de_Jungingen_the_master_generall_of_Prussia_for_e,041-043,963,doc,"letter, russia, prussia",,,,,,11,0.011422638,0.7
2,11,1,NNE-,1404,The_letters_of_Conradus_de_Jungingen_unto_king_Henry_the_fourth,044-046,947,doc,letter,,,,,,10,0.010559662,0.6
2,12,1,NNE-,1405,An_agreement_made_betweene_king_Henry_the_fourth_and_Conradus_de_Jungingen,047-055,2719,doc,agreement,,,,,,18,0.006620081,0.5
2,13,1,NNE-,1405,An_agreement_betweene_king_Henry_the_fourth_and_the_Hans-townes,055-067,4254,doc,agreement,,,,,,51.5,0.012106253,0.7
2,14,1,NNE-,1405,A_testimonie_out_of_Albertus_Krantzius_concerning_the_surprise_of_Bergen_in_Norway_wherein_21_houses,068-071,1210,doc,"testimon, norway",,,,,,17.5,0.01446281,0.8
2,15,1,NNE-,1407,The_grievances_and_offences_whereat_the_merchants_of_the_Hans_found_themselves_agrieved,072-083,4019,doc,,,,,,,15.5,0.003856681,0.3
2,16,1,NNE-,1407,A_letter_of_Henry_the_fourth_king_of_England_unto_Conradus_de_Jungingen_Master_generall_of_Prussia,083-085,609,doc,"letter, england, russia, prussia",,,,,,2,0.003284072,0.3
2,17,1,NNE-,1408,A_letter_of_Werneherus_de_Tettingen_commander_in_Elbing_unto_sir_William_Sturmy_Ambassadour_unto_kin,085-090,1733,doc,letter,,,,,,12.5,0.007212926,0.5
2,18,1,NNE-,1408,The_letters_of_Ulricus_de_Jungingen_master_generall_of_Prussia_signifying_unto_king_Henry_the_4_that,091-095,1334,doc,"letter, russia, prussia",,,,,,4,0.002998501,0.2
2,19,1,NNE-,1408,The_letters_of_king_Henry_the_fourth_unto_Ulricus_de_Jungingen_wherein_he_doth_absolutely_approve_th,095-098,977,doc,letter,,,,,,1,0.001023541,0.1
2,20,1,NNE-,1409,A_new_concord_betweene_king_Henry_the_fourth_and_Ulricus_de_Jungingen,098-106,2769,doc,,,,,,,44.5,0.016070784,0.8
2,21,1,NNE-,1404,A_Charter_of_king_Henry_the_fourth_graunted_in_the_fifth_yeere_of_his_raigne_unto_the_English_mercha,106-110,769,doc,"england, granted, charter",,,,,,8,0.010403121,0.6
2,22,1,NNE-,1430,A_note_touching_the_mighty_ships_of_king_Henry_the_fift_taken_out_of_a_Chronicle_in_the_Trinitie_Chu,111-111,31,doc,note,,,,,,0,0,0
2,23,1,NNE-,1430,A_branch_of_a_Statute_made_in_the_eight_yeere_of_Henry_the_6_for_the_trade_to_Norway_Sweveland_Denma,111-113,493,doc,norway,,,,,,7,0.014198783,0.8
2,24,1,NNE-,1432,Another_branch_of_a_Statute_made_in_the_10_yeere_of_king_Henry_the_sixt_concerning_the_state_of_Engl,113-114,391,doc,,,,,,,1.5,0.003836317,0.3
2,25,1,NNE-,1437,Libellus_de_politia_conservativa_Maris_Or_The_pollicy_of_keeping_the_Sea,114-147,9760,doc,,,,,,,107.5,0.011014344,0.7
2,26,1,NNE-,1462,A_large_Charter_granted_by_king_Edward_the_fourth_in_the_second_yere_of_his_raigne_to_the_English_me,147-158,4023,doc,"england, granted, charter",,,,,,15,0.003728561,0.3
2,27,1,NNE-,1527,A_perswasion_of_Robert_Thome_merchant_of_Bristol_and_dwelling_long_in_Sivil_in_Spaine_to_king_Henry_,159-163,1715,doc,spain,,,,,,6,0.003498542,0.3
2,28,1,NNE-,1527,The_discourse_of_the_foresaid_Robert_Thorne_written_to_Doctour_Leigh_the_Kings_Ambassadour_in_Spaine,164-181,6522,doc,"spain, discourse",,,,,,9.5,0.001456608,0.1
2,29,1,NNE-,1580,A_briefe_treatise_of_the_Emperour_of_Moscovia_his_genealogie,182-194,4333,doc,russia,,,,,,57,0.013154858,0.7
2,30,1,NNE-,1553,The_excellent_orders_and_instructions_of_Sebastian_Cabot_given_to_sir_Hugh_Willoughby_and_his_Fleete,195-205,3813,doc,"commandement, instructions",,,,,,28.5,0.00747443,0.5
2,31,1,NNE-,1553,The_names_of_the_twelve_Counsellers_appointed_in_sir_Hugh_Willoughbies_voyage,206-206,88,nar,voyage,,,,,,0,0,0
2,32,1,NNE-,1553,The_letters_of_king_Edward_the_sixt_written_at_that_time_to_all_the_Kings_Princes_and_other_Potentat,206-211,1001,doc,letter,,,,,,0,0,0
2,33,1,NNE-,1553,The_voyage_of_sir_Hugh_Willoughby_knight_wherein_he_unfortunately_perished_at_Arzina_Reca_in_Lapland,212-212,109,nar,voyage,,,,,,1.5,0.013761468,0.8
2,34,1,NNE-,1553,The_names_of_the_Ships_Captains_Mariners_and_other_officers_of_that_first_worthy_enterprise,212-214,490,doc,,,,,,,4,0.008163265,0.6
2,35,1,NNE-,1553,The_othe_ministred_to_the_Captaine_of_the_Fleete,215-215,300,doc,,,,,,,3.5,0.011666667,0.7
2,36,1,NNE-,1553,The_othe_ministred_to_the_Masters_of_the_ships,216-224,2845,doc,,,,,,,9,0.003163445,0.3
2,37,1,NNE-,1553,The_voyage_of_Richard_Chanceller_Pilote_major_the_first_discoverer_by_sea_of_the_kingdome_of_Moscovi,224-238,5472,nar,"russia, voyage",,,,,,59.5,0.010873538,0.7
2,38,1,NNE-,1553,A_testimonie_of_Richard_Eden_concerning_Clement_Adams_his_discourse_of_Richard_Chancellers_voyage,239-270,11173,nar,"voyage, testimon, discourse",,,,,,94,0.008413139,0.6
2,39,1,NNE-,1554,The_letters_of_the_Emperour_of_Russia_sent_to_king_Edward_the_sixt_by_Richard_Chanceller,271-272,626,doc,"letter, russia",,,,,,2.5,0.00399361,0.3
2,40,1,NNE-,1554,The_coynes_waights_and_measures_used_in_Russia,273-278,2055,doc,russia,,,,,,4,0.001946472,0.2
2,41,1,NNE-,1555,The_letters_of_King_Philip_and_Queene_Mary_to_Ivan_Vasilivich_the_Emperor_of_Russia,278-281,812,doc,"letter, russia",,,,,,0,0,0
2,42,1,NNE-,1555,The_Commission_given_to_the_merchants_Agents_resiant_in_Russia,281-289,3159,doc,"russia, commission",,,,,,11.5,0.003640393,0.3
2,43,1,NNE-,1555,The_othe_ministred_to_the_servants_of_the_Moscovie_company,290-290,263,doc,russia,,,,,,0.5,0.001901141,0.2
2,44,1,NNE-,1555,The_letter_of_George_Killingworth_the_first_Agent_in_Russia_written_to_the_Company,291-297,2529,doc,"letter, russia",,,,,,3,0.00118624,0.1
2,45,1,NNE-,1555,The_first_Privileges_graunted_by_the_Emperour_of_Russia_to_the_English_merchants,297-303,2055,doc,"england, russia, granted, privileges",,,,,,16,0.007785888,0.5
2,46,1,NNE-,1555,The_Charter_of_the_merchants_of_the_Moscovie_company_granted_by_Queene_Mary,304-316,4403,doc,"russia, granted, charter",,,,,,14.5,0.003293209,0.3
2,47,1,NNE-,1556,Instructions_given_to_the_Pursers_of_the_Moscovie_voyage,317-322,1955,nar,"russia, commandement, voyage, instructions",,,,,,3.5,0.001790281,0.2
2,48,1,NNE-,1556,The_voyage_of_Stephen_Burrough_toward_the_River_of_Ob_intending_the_discovery_of_the_Northeast_passa,322-344,8124,nar,"voyage, discovery",,,,,,29.5,0.003631216,0.3
2,49,1,NNE-,1556,The_landing_of_Richard_Johnson_among_the_Samoeds_Anno_1556,345-349,1849,nar,,,,,,,16.5,0.008923743,0.6
2,50,1,NNE-,1557,A_discourse_of_the_honourable_receiving_into_England_of_the_first_Ambassadour_from_the_Emperour_of_R,350-362,4073,doc,"england, discourse",,,,,,17,0.004173828,0.3
2,51,1,NNE-,1557,The_voyage_of_the_aforesaide_Stephen_Burrough_from_Colmogro_in_Russia_to_Wardhouse_in_search_of_cert,363-375,4048,nar,"russia, voyage",,,,,,18,0.00444664,0.4
2,52,1,NNE-,1557,Instructions_given_to_the_Masters_and_Mariners_of_the_ships_of_the_Moscovie_Company_sayling_towards_,375-378,1173,doc,"russia, commandement, instructions",,,,,,7,0.005967604,0.5
2,53,1,NNE-,1557,A_letter_of_the_Company_of_the_Moscovie_merchants_unto_their_Agents_George_Killingworth_Richard_Gray,379-392,5000,doc,"letter, russia",,,,,,17.5,0.0035,0.3
2,54,1,NNE-,1557,A_letter_of_M_Thomas_Hawtree_to_the_Moscovie_Companies_Agent_M_Henry_Lane_at_Colmogro,392-394,731,doc,"letter, russia",,,,,,1.5,0.002051984,0.2
2,55,1,NNE-,1558,A_letter_of_M_Richard_Gray_one_of_the_first_Agents_of_the_Moscovie_Company_to_M_Henry_Lane_at_Mosco,394-396,805,doc,"letter, russia",,,,,,1,0.001242236,0.1
2,56,1,NNE-,1558,A_letter_of_Thomas_Alcock_to_M_Richard_Gray_and_Henry_Lane_Agents_in_Moscovia_from_Tirwill_in_Poland,396-399,1181,doc,"letter, russia",,,,,,13,0.011007621,0.7
2,57,1,NNE-,1559,A_letter_of_M_Anthony_Jenkinson_upon_his_returne_from_Boghar_to_M_Henry_Lane_resident_in_Vologda,400-401,495,doc,letter,,,,,,1.5,0.003030303,0.2
2,58,1,NNE-,1560,A_letter_of_the_Moscovie_Company_to_their_Agents_in_Russia_M_Henry_Lane_Christopher_Hudson_and_Thoma,401-407,2373,doc,"letter, russia",,,,,,4.5,0.001896334,0.2
2,59,1,NNE-,1560,Another_letter_to_the_aforesaid_parties,407-410,1269,doc,letter,,,,,,8.5,0.006698188,0.5
2,60,1,NNE-,1560,The_maner_of_Justice_by_lotts_in_Russia_written_by_M_Henry_Lane,411-412,575,doc,russia,,,,,,2,0.003478261,0.3
2,61,1,NNE-,1557,The_voyage_of_M_Anthony_Jenkinson_into_Russia_wherein_Osep_Napea_first_Ambassadour_from_the_Emperour,413-425,4518,nar,"russia, voyage",,,,,,29,0.006418769,0.5
2,62,1,NNE-,1558,The_description_of_Russia_with_the_customes_and_maners_of_the_inhabitants,425-449,8482,doc,"russia, description",,,,,,75,0.008842254,0.6
2,63,1,NNE-,1558,The_voyage_of_M_Anthony_Jenkinson_from_the_Citie_of_Mosco_in_Russia_to_Boghar_in_Bactria_Anno_1558,449-479,11185,nar,"russia, voyage",,,,,,139.5,0.012472061,0.7
2,64,1,NNE-,1559,Notes_and_observations_gathered_by_Richard_Johnson_of_the_severall_wayes_from_Russia_to_Cathay_over-,480-484,1457,doc,"russia, note, observation",,,,,,6.5,0.004461222,0.4
2,65,1,NNE-,1559,A_letter_of_Sigismund_king_of_Polonia_1559_unto_the_Queenes_most_excellent_Majestie,485-487,985,doc,letter,,,,,,13,0.01319797,0.7
3,1,1,NNE-,1561,The_letters_of_the_Queenes_Majestie_written_to_the_Emperour_of_Russia_requesting_licence_and_safe-co,001-005,813,doc,"letter, russia",,,,,,0,0,0
3,2,1,NNE-,1561,The_Queenes_Majesties_letters_to_the_great_Sophie_of_Persia,006-008,517,doc,"letter, persia",,,,,,0.5,0.000967118,0.1
3,3,1,NNE-,1561,Instructions_given_by_the_Governours_and_Assistants_of_the_Moscovie_Company,009-014,2009,doc,"russia, commandement, instructions",,,,,,1.5,0.00074664,0.1
3,4,1,NNE-,1562,The_voyage_of_M_Anthony_Jenkinson_through_Russia_and_over_the_Caspian_sea_into_Persia_Anno_1561,015-038,8649,nar,"russia, voyage, persia",,,,,,51.5,0.005954446,0.5
3,5,1,NNE-,1563,The_privileges_given_by_Obdoloucan_K_of_Hircania_to_the_Company_of_English_merchants_trading_in_Russ,039-040,460,doc,"england, privileges",,,,,,0.5,0.001086957,0.1
3,6,1,NNE-,1563,The_voyage_of_Thomas_Alcock_George_Wrenne_and_Richard_Cheyney_servants_unto_the_Company_of_Moscovy_M,040-044,1365,nar,"russia, voyage",,,,,,8,0.005860806,0.5
3,7,1,NNE-,1566,The_voyage_of_Richard_Johnson_Alexander_Kitchin_and_Arthur_Edwards_servants_to_the_foresaid_company_,044-053,3561,nar,voyage,,,,,,17.5,0.00491435,0.4
3,8,1,NNE-,1566,Certaine_letters_of_Arthur_Edwards_written_out_of_Russia_Media_and_Persia_to_the_Company_of_the_Mosc,054-067,5077,doc,"letter, russia, persia",,,,,,29,0.005712035,0.4
3,9,1,NNE-,1567,The_distance_of_divers_places_in_Russia,068-070,329,doc,russia,,,,,,0,0,0
3,10,1,NNE-,1567,The_way_and_distances_from_S_Nicolas_in_Russia_to_the_Caspian_sea,070-072,725,doc,russia,,,,,,1,0.00137931,0.1
3,11,1,NNE-,1566,The_voyage_of_Thomas_Southam_and_John_Sparke_by_land_and_river_from_Colmogro_to_Novogrod_in_Russia_A,073-083,3739,nar,"russia, voyage",,,,,,3.5,0.000936079,0.1
3,12,1,NNE-,1566,An_Acte_for_the_corporation_of_merchants_Adventurers_for_the_discovering_of_newe_trades_made_in_the_,083-091,2832,doc,oration,,,,,,6,0.002118644,0.2
3,13,1,NNE-,1566,The_voyage_of_M_Anthony_Jenkinson_into_Russia_the_third_time_Anno_1566,092-092,197,nar,"russia, voyage",,,,,,0,0,0
3,14,1,NNE-,1567,The_privileges_granted_by_the_Emperour_of_Russia_to_the_English_merchants,092-097,1802,doc,"england, russia, granted, privileges",,,,,,3,0.001664817,0.2
3,15,1,NNE-,1567,A_letter_of_M_Henry_Lane_to_M_Richard_Hakluyt_concerning_the_first_Ambassage_from_the_Russian_Empero,098-100,970,doc,"letter, russia, ambassage",,,,,,3.5,0.003608247,0.3
3,16,1,NNE-,1568,A_letter_of_her_Majestie_sent_by_Stephen_Twerdico_and_Pheodata_Pogorella_Messengers_of_the_Emperour_,101-101,32,doc,letter,,,,,,0,0,0
3,17,1,NNE-,1569,The_Ambassage_of_M_Thomas_Randolfe_Esquier_from_the_Queenes_Majestie_to_the_Emperour_of_Russia,102-108,2128,doc,"russia, ambassage",,,,,,1.5,0.000704887,0.1
3,18,1,NNE-,1569,The_privileges_graunted_to_the_English_merchants_at_M_Randolfe_his_sute,108-119,3750,doc,"england, granted, privileges",,,,,,20,0.005333333,0.4
3,19,1,NNE-,1588,A_Commission_granted_by_M_Randolfe_for_a_discovery_to_the_Northeast_by_sea,119-122,1077,doc,"granted, discovery, commission",,,,,,0,0,0
3,20,1,NNE-,1588,Instructions_given_to_the_discoverers_for_that_action,122-124,669,doc,"commandement, instructions",,,,,,0.5,0.000747384,0.1
3,21,1,NNE-,1568,Certaine_letters_in_verse_written_out_of_Moscovia_by_M_George_Turbervile_Secretary_to_M_Randolfe_tou,124-135,3143,doc,"letter, russia",,,,,,27.5,0.008749602,0.6
3,22,1,NNE-,1568,The_voyage_of_Arthur_Edwards_Agent_for_the_Moscovy_company_John_Sparke_Laurence_Chapman_Christopher_,136-142,2487,nar,"russia, voyage",,,,,,12,0.00482509,0.4
3,23,1,NNE-,1568,Notes_concerning_the_fourth_English_voyage_into_Persia,143-149,2421,nar,"england, voyage, note, persia",,,,,,14,0.005782734,0.4
3,24,1,NNE-,1572,The_voyage_of_Thomas_Banister_and_Geffrey_Ducket_Agents_for_the_Moscovy_Company_into_Persia_the_fift,150-157,2664,nar,"russia, voyage, persia",,,,,,58,0.021771772,0.9
3,25,1,NNE-,1574,Observations_of_the_Sophy_of_Persia_and_of_the_Religion_of_the_Persians,158-166,3265,doc,"persia, observation",,,,,,32,0.009800919,0.6
3,26,1,NNE-,1570,The_voyage_of_William_Burrough_Captaine_of_13_English_ships_to_the_Narve_in_Liefland_Anno_1570,167-169,836,nar,"england, voyage",,,,,,8.5,0.010167464,0.6
3,27,1,NNE-,1571,A_letter_of_Richard_Uscombe_to_M_Henry_Lane_touching_the_burning_of_the_Citie_of_Mosco_by_the_Crimme,169-169,164,doc,"letter, russia",,,,,,4,0.024390244,0.9
3,28,1,NNE-,1572,The_voyage_of_M_Anthony_Jenkinson_into_Russia_the_fourth_time_Anno_1571,170-195,8630,nar,"russia, voyage",,,,,,49,0.005677868,0.4
3,29,1,NNE-,1572,A_briefe_rehearsall_of_all_the_travailes_of_M_Anthony_Jenkinson,195-196,534,doc,,,,,,,0,0,0
3,30,1,NNE-,1575,A_letter_of_James_Alday_to_M_Michael_Locke_Agent_in_London_for_the_Moscovie_Company_touching_a_trade,197-200,1438,doc,"letter, england, russia",,,,,,2.5,0.001738526,0.2
3,31,1,NNE-,1575,A_note_of_all_the_necessary_instruments_and_appurtenances_belonging_to_the_killing_of_the_Whale,200-203,706,doc,note,,,,,,13.5,0.019121813,0.9
3,32,1,NNE-,1576,The_deposition_of_William_Burrough_to_certeine_Interrogatories_mooved_unto_him_concerning_the_Narve_,203-206,1209,doc,,,,,,,2,0.00165426,0.2
3,33,1,NNE-,1576,The_reasons_of_M_William_Burrough_to_disswade_the_use_of_a_trade_to_the_Narve_by_the_way_through_Swe,207-208,347,doc,,,,,,,5,0.014409222,0.8
3,34,1,NNE-,1598,A_remembrance_of_advise_given_to_the_Moscovie_merchants_touching_a_voyage_for_Cola_abovesaid,208-209,516,nar,"russia, voyage",,,,,,4,0.007751938,0.5
3,35,1,NNE-,1598,An_Epistle_dedicatorie_unto_the_Queenes_most_excellent_Majestie,209-212,938,doc,letter,,,,,,1,0.001066098,0.1
3,36,1,NNE-,1579,The_Queenes_Majesties_letters_to_Shaugh_Thamas_the_great_Sophy_of_Persia,212-214,677,doc,"letter, persia",,,,,,1,0.001477105,0.1
3,37,1,NNE-,1580,The_voyage_of_Christopher_Burrough_into_Persia_the_sixt_time_Anno_1579,214-247,12108,nar,"voyage, persia",,,,,,117,0.009663033,0.6
3,38,1,NNE-,1581,The_Latitudes_and_Meridian_Altitudes_of_divers_places_in_Russia_from_the_North_to_the_South,247-248,176,doc,russia,,,,,,0,0,0
