Orders	Orders	n1	Order	order	0
to	to	pc-acp	to	to	0
repaire	repaire	vvi	repair	repair	0
unto	unto	p-acp	unto	unto	0
their	their	po32	their	their	0
last	last	ord	last	last	0
good	good	j	good	good	0
port	port	n1	port	port	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
againe	againe	av	again	again	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Our	Our	po12	Our	our	0
course	course	n1	course	course	0
agreed	agreed	vvn	agreed	agree	0
upon	upon	p-acp	upon	upon	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
course	course	n1	course	course	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discovery	discovery	n1	discovery	discovery	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
directly	directly	av-j	directly	direct	0
to	to	p-acp	to	to	0
cape	cape	n1	cape	cape	0
Rase	Rase	vvb	Raze	raze	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Southerly	Southerly	j	Southerly	southerly	0
cape	cape	n1	cape	cape	0
of	of	pp-f	of	of	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
;	;	;	;	;	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
harbour	harbour	vvi	harbour	harbour	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
Rogneux	Rogneux	np1	Rogneux	Rogneux	0
or	or	cc	or	or	0
Fermous	Fermous	np1	Fermous	Fermous	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
places	places	n2	places	place	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
Rendez	Rendez	np1	Rendez	Rendez	0
vous	vous	fw-fr	vous	vous	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
next	next	ord	next	next	0
harbours	harbours	vvz	harbours	harbour	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Northward	Northward	av-j	Northward	northward	0
of	of	pp-f	of	of	0
cape	cape	n1	cape	cape	0
Rase	Rase	vvb	Raze	raze	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
separated	separated	vvn	separated	separate	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
fleet	fleet	n1	fleet	fleet	0
to	to	pc-acp	to	to	0
repaire	repaire	vvi	repair	repair	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
place	place	n1	place	place	0
so	so	av	so	so	0
fast	fast	av-j	fast	fast	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
shall	shall	vmb	shall	shall	0
permit	permit	vvi	permit	permit	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
fall	fall	vvi	fallen	fall	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Southward	Southward	av-j	Southward	southward	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Northward	Northward	av-j	Northward	northward	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
stay	stay	vvi	stay	stay	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
meeting	meeting	n1	meeting	meeting	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
fleet	fleet	n1	fleet	fleet	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
ten	ten	crd	ten	ten	0
dayes	dayes	n2	days	day	0
:	:	:	:	:	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
depart	depart	vvi	depart	depart	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
leave	leave	vvi	leave	leave	0
marks	marks	n2	marks	mark	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
direction	direction	n1	direction	direction	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
course	course	n1	course	course	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
BEginning	BEginning	n-vvg	BEginning	begin	0
our	our	po12	our	our	0
course	course	n1	course	course	0
from	from	p-acp	from	from	0
Silley	Silley	np1	Silley	Silley	0
,	,	,	,	,	0
the	the	dt	the	the	0
neerest	neerest	js	nearest	near	0
is	is	vbz	is	be	0
by	by	p-acp	by	by	0
Westsouthwest	Westsouthwest	n1	Westsouthwest	westsouthwest	0
(	(	(	(	(	0
if	if	cs	if	if	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
serve	serve	vvi	serve	serve	0
)	)	)	)	)	0
untill	untill	c-acp	until	until	0
such	such	d	such	such	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
brought	brought	vvn	brought	bring	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
43	43	crd	43	43	0
or	or	cc	or	or	0
44	44	crd	44	44	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
Ocean	Ocean	n1	Ocean	ocean	0
is	is	vbz	is	be	0
subject	subject	j-jn	subject	subject	0
much	much	av-d	much	much	0
to	to	p-acp	to	to	0
Southerly	Southerly	j	Southerly	southerly	0
windes	windes	n2	winds	wind	0
in	in	p-acp	in	in	0
June	June	np1	June	June	0
and	and	cc	and	and	0
July	July	np1	July	July	0
.	.	.	.	.	1
Then	Then	cs	Then	than	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
traverse	traverse	n1	traverse	traverse	0
from	from	p-acp	from	from	0
45	45	crd	45	45	0
to	to	p-acp	to	to	0
47	47	crd	47	47	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
inforced	inforced	vvn	enforced	enforce	0
by	by	p-acp	by	by	0
contrary	contrary	j-jn	contrary	contrary	0
windes	windes	n2	winds	wind	0
:	:	:	:	:	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Northward	Northward	av-j	Northward	northward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
47	47	crd	47	47	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
Septentrionali	Septentrionali	fw-la	Septentrionali	septentrionali	0
latitude	latitude	n1	latitude	latitude	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
meanes	meanes	n2	means	mean	0
:	:	:	:	:	0
if	if	cs	if	if	0
God	God	np1	God	God	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
inforce	inforce	vvi	enforce	enforce	0
the	the	dt	the	the	0
contrary	contrary	j-jn	contrary	contrary	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
your	your	po22	your	your	0
indevour	indevour	n1	endeavour	endeavour	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
46	46	crd	46	46	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
so	so	av	so	so	0
nere	nere	av-j	never	near	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
possibly	possibly	av-j	possibly	possible	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
cape	cape	n1	cape	cape	0
Rase	Rase	vvb	Raze	raze	0
lieth	lieth	vvz	lies	lie	0
about	about	p-acp	about	about	0
that	that	d	that	that	0
height	height	n1	height	height	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Notes	Notes	n2	Notes	note	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
IF	IF	cs	IF	if	0
by	by	p-acp	by	by	0
contrary	contrary	j-jn	contrary	contrary	0
windes	windes	n2	winds	wind	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
driven	driven	vvn	driven	drive	0
backe	backe	av	back	back	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
repaire	repaire	vvi	repair	repair	0
unto	unto	p-acp	unto	unto	0
Silley	Silley	np1	Silley	Silley	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
assembly	assembly	n1	assembly	assembly	0
or	or	cc	or	or	0
meeting	meeting	n1	meeting	meeting	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
If	If	cs	If	if	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
driven	driven	vvn	driven	drive	0
backe	backe	av	back	back	0
by	by	p-acp	by	by	0
contrary	contrary	j-jn	contrary	contrary	0
winds	winds	n2	winds	wind	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
not	not	xx	not	not	0
passe	passe	vvi	pass	pass	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
assembly	assembly	n1	assembly	assembly	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
at	at	p-acp	at	at	0
Beare	Beare	n1	Bear	bear	0
haven	haven	n1	haven	haven	0
or	or	cc	or	or	0
Baltimore	Baltimore	np1	Baltimore	Baltimore	0
haven	haven	n1	haven	haven	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
If	If	cs	If	if	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
happen	happen	vvi	happen	happen	0
to	to	pc-acp	to	to	0
meete	meete	vvi	meet	meet	0
at	at	p-acp	at	at	0
cape	cape	n1	cape	cape	0
Rase	Rase	vvb	Raze	raze	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
