En	En	fw-fr	En	en	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
had	had	vhd	had	have	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
he	he	pns31	he	he	0
stil	stil	av	still	still	0
remaineth	remaineth	vvz	remains	remain	0
in	in	p-acp	in	in	0
hold	hold	n1	hold	hold	0
,	,	,	,	,	0
and	and	cc	and	and	0
shal	shal	vmb	shall	shall	0
so	so	av	so	so	0
continue	continue	vvi	continue	continue	0
until	until	p-acp	until	until	0
further	further	jc	further	further	0
justice	justice	n1	justice	justice	0
be	be	vbb	be	be	0
done	done	vdn	done	do	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
accord	accord	vvi	accord	accord	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
431	431	crd	431	431	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ing	ing	zz	ing	ing	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
desert	desert	n1	desert	desert	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
keepe	keepe	vvb	keep	keep	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
safegard	safegard	n1	safeguard	safeguard	0
.	.	.	.	.	1
Written	Written	j-vvn	Written	write	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
royall	royall	j	royal	royal	0
court	court	n1	court	court	0
in	in	p-acp	in	in	0
Marocco	Marocco	np1	Marocco	Morocco	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
maintaine	maintaine	vvb	maintain	maintain	0
,	,	,	,	,	0
the	the	dt	the	the	0
20.	20.	crd	20.	20.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
Remodan	Remodan	np1	Remodan	Remodan	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
|	|	|	|	|	0
|	|	|	|	|	0
996.	996.	crd	996.	996.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
^	^	^	^	^	0
/	/	/	/	/	0
/	/	/	/	/	0
2^1587	2^1587	n1	2^1587	2^1587	0
.	.	.	.	.	1
77	77	crd	77	77	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	1
