A	A	dt	A	a	0
to	to	p-acp	to	to	0
Chio	Chio	np1	Chio	Chio	0
,	,	,	,	,	0
&	&	cc	&	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
no	no	dx	no	no	0
man	man	n1	man	man	0
should	should	vmd	should	shall	0
hurt	hurt	vvi	hurt	hurt	0
them	them	pno32	them	they	0
or	or	cc	or	or	0
offer	offer	vvi	offer	offer	0
any	any	d	any	any	0
violence	violence	n1	violence	violence	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
or	or	cc	or	or	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
portes	portes	n2	ports	port	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
commaunded	commaunded	vvn	commanded	command	0
,	,	,	,	,	0
that	that	cst	that	that	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
comming	comming	vvg	coming	come	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
places	places	n2	places	place	0
or	or	cc	or	or	0
ports	ports	n2	ports	port	0
with	with	p-acp	with	with	0
marchandise	marchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
themselves	themselves	px32	themselves	themselves	0
will	will	vvi	will	will	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
sell	sell	vvi	fell	sell	0
their	their	po32	their	their	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
&	&	cc	&	and	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
Title	Title	n1	Title	title	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
custome	custome	n1	custom	custom	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
woont	woont	vvn	wont	wont	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
having	having	vhg	having	have	0
taken	taken	vvn	taken	take	0
the	the	dt	the	the	0
custome	custome	n1	custom	custom	0
due	due	j-jn	due	due	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
Canon	Canon	n1	Canon	canon	0
you	you	pn22	you	you	0
suffer	suffer	vvb	suffer	suffer	0
them	them	pno32	them	they	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
injuried	injuried	vvn	injuried	injury	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
portes	portes	n2	ports	port	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
quietnesse	quietnesse	n1	quietness	quietness	0
to	to	p-acp	to	to	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
and	and	cc	and	and	0
certifie	certifie	vvi	certify	certify	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
disobedient	disobedient	j	disobedient	disobedient	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
commaundement	commaundement	n1	commandment	commandment	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvb	give	give	0
credite	credite	n1	credit	credit	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
seale	seale	n1	seal	seal	0
.	.	.	.	.	1
And	And	cc	And	and	0
having	having	vhg	having	have	0
read	read	vvn	read	read	0
this	this	d	this	this	0
our	our	po12	our	our	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
give	give	vvb	give	give	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
againe	againe	av	again	again	0
.	.	.	.	.	1
