An	An	dt	And	a	0
complaints	complaints	n2	complaints	complaint	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
made	made	vvn	made	make	0
,	,	,	,	,	0
&	&	cc	&	and	0
informations	informations	n2	informations	information	0
also	also	av	also	also	0
yerely	yerely	av-j	yearly	yearly	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
Majesties	Majesties	n2	Majesties	majesty	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
councell	councell	n1	council	council	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
reformation	reformation	n1	reformation	reformation	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
intent	intent	n1	intent	intent	0
also	also	av	also	also	0
that	that	cst	that	that	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Marchants	Marchants	n2	Merchants	merchant	0
and	and	cc	and	and	0
fishermen	fishermen	n2	fishermen	fisherman	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
occasion	occasion	n1	occasion	occasion	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
&	&	cc	&	and	0
use	use	vvi	use	use	0
the	the	dt	the	the	0
same	same	d	same	same	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
marchandizing	marchandizing	vvg	merchandizing	merchandize	0
,	,	,	,	,	0
&	&	cc	&	and	0
fishing	fishing	vvg	fishing	fish	0
freely	freely	av-j	freely	free	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
such	such	d	such	such	0
charges	charges	n2	charges	charge	0
and	and	cc	and	and	0
exactions	exactions	n2	exactions	exaction	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
before	before	p-acp	before	before	0
limited	limited	vvn	limited	limit	0
,	,	,	,	,	0
wherby	wherby	c-crq	whereby	whereby	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
that	that	cst	that	that	0
more	more	dc	more	more	0
plentie	plentie	n1	plenty	plenty	0
of	of	pp-f	of	of	0
fish	fish	n1	fish	fish	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
same	same	d	same	same	0
at	at	p-acp	at	at	0
more	more	dc	more	more	0
reasonable	reasonable	j	reasonable	reasonable	0
prices	prices	n2	princes	price	0
:	:	:	:	:	0
Be	Be	vbb	Be	be	0
it	it	pn31	it	it	0
therfore	therfore	av	therefore	therefore	0
enacted	enacted	vvn	enacted	enact	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
king	king	n1	king	king	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
lords	lords	n2	lords	lord	0
and	and	cc	and	and	0
commons	commons	n2	commons	commons	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
present	present	j	present	present	0
parliament	parliament	n1	parliament	parliament	0
assembled	assembled	vvn	assembled	assemble	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
authoritie	authoritie	n1	authority	authority	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
that	that	cst	that	that	0
neither	neither	dx	neither	neither	0
the	the	dt	the	the	0
Admiral	Admiral	n1	Admiral	admiral	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
officer	officer	n1	officer	officer	0
,	,	,	,	,	0
or	or	cc	or	or	0
minister	minister	vvi	minister	minister	0
,	,	,	,	,	0
officers	officers	n2	officers	officer	0
or	or	cc	or	or	0
ministers	ministers	n2	ministers	minister	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Admiraltie	Admiraltie	n1	Admiralty	admiralty	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
being	being	vbg	being	be	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
wise	wise	j	wise	wise	0
hereafter	hereafter	av	hereafter	hereafter	0
exact	exact	j	exact	exact	0
,	,	,	,	,	0
receive	receive	vvb	receive	receive	0
,	,	,	,	,	0
or	or	cc	or	or	0
take	take	vvi	take	take	0
by	by	p-acp	by	by	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
his	his	po31	his	his	0
servant	servant	n1	servant	servant	0
,	,	,	,	,	0
deputie	deputie	n1	deputy	deputy	0
,	,	,	,	,	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
or	or	cc	or	or	0
deputies	deputies	n2	deputies	deputy	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
such	such	d	such	such	0
Marchant	Marchant	n1	Merchant	merchant	0
or	or	cc	or	or	0
fisherman	fisherman	n1	fisherman	fisherman	0
,	,	,	,	,	0
any	any	d	any	any	0
summe	summe	n1	sum	sum	0
or	or	cc	or	or	0
summes	summes	n2	sums	sum	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
,	,	,	,	,	0
doles	doles	n2	doles	dole	0
or	or	cc	or	or	0
shares	shares	n2	shares	share	0
of	of	pp-f	of	of	0
fish	fish	n1	fish	fish	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
reward	reward	n1	reward	reward	0
,	,	,	,	,	0
benefit	benefit	n1	benefit	benefit	0
or	or	cc	or	or	0
advantage	advantage	n1	advantage	advantage	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
any	any	d	any	any	0
licence	licence	n1	licence	licence	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
voyages	voyages	n2	voyages	voyage	0
or	or	cc	or	or	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
respect	respect	n1	respect	respect	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
voyages	voyages	n2	voyages	voyage	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
paine	paine	n1	pain	pain	0
to	to	pc-acp	to	to	0
forfeit	forfeit	vvi	forfeit	forfeit	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
first	first	ord	first	first	0
offence	offence	n1	offence	offence	0
treble	treble	vvi	triple	treble	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
,	,	,	,	,	0
or	or	cc	or	or	0
treble	treble	vvi	triple	treble	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reward	reward	n1	reward	reward	0
,	,	,	,	,	0
benefite	benefite	n1	benefit	benefit	0
or	or	cc	or	or	0
advantage	advantage	n1	advantage	advantage	0
,	,	,	,	,	0
that	that	cst	that	that	0
any	any	d	any	any	0
such	such	d	such	such	0
officer	officer	n1	officer	officer	0
or	or	cc	or	or	0
minister	minister	n1	minister	minister	0
shall	shall	vmb	shall	shall	0
hereafter	hereafter	av	hereafter	hereafter	0
have	have	vhi	have	have	0
or	or	cc	or	or	0
take	take	vvi	take	take	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
such	such	d	such	such	0
Marchants	Marchants	n2	Merchants	merchant	0
or	or	cc	or	or	0
fishermen	fishermen	n2	fishermen	fisherman	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
forfeiture	forfeiture	n1	forfeiture	forfeiture	0
the	the	dt	the	the	0
party	party	n1	party	party	0
grieved	grieved	vvd	grieved	grieve	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
other	other	j-jn	other	other	0
person	person	n1	person	person	0
or	or	cc	or	or	0
persons	persons	n2	persons	person	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
he	he	pns31	he	he	0
or	or	cc	or	or	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
sue	sue	vvi	sue	sue	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
by	by	p-acp	by	by	0
information	information	n1	information	information	0
,	,	,	,	,	0
bill	bill	n1	bill	bill	0
,	,	,	,	,	0
plaint	plaint	n1	plaint	plaint	0
,	,	,	,	,	0
or	or	cc	or	or	0
action	action	n1	actium	action	0
of	of	pp-f	of	of	0
debt	debt	n1	debt	debt	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
courts	courts	n2	courts	court	0
of	of	pp-f	of	of	0
recorde	recorde	n1	record	record	0
:	:	:	:	:	0
The	The	dt	The	the	0
king	king	n1	king	king	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
one	one	crd	one	one	0
moitie	moitie	n1	moiety	moiety	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
party	party	n1	party	party	0
complaining	complaining	vvg	complaining	complain	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
moitie	moitie	n1	moiety	moiety	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
suite	suite	n1	suit	suit	0
no	no	xx	not	not	0
essoigne	essoigne	vvi	essoigne	essoigne	0
,	,	,	,	,	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
or	or	cc	or	or	0
wager	wager	n1	wager	wager	0
of	of	pp-f	of	of	0
law	law	n1	law	law	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
allowed	allowed	vvn	allowed	allow	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
second	second	ord	second	second	0
offence	offence	n1	offence	offence	0
the	the	dt	the	the	0
party	party	n1	party	party	0
so	so	av	so	so	0
offending	offending	vvg	offending	offend	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
lose	lose	vvi	loose	lose	0
and	and	cc	and	and	0
forfeite	forfeite	vvi	forfeit	forfeit	0
his	his	po31	his	his	0
or	or	cc	or	or	0
their	their	po32	their	their	0
office	office	n1	office	office	0
or	or	cc	or	or	0
offices	offices	n2	offices	office	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Admiraltie	Admiraltie	n1	Admiralty	admiralty	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
fine	fine	j	fine	fine	0
and	and	cc	and	and	0
ransome	ransome	n1	ransom	ransom	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
will	will	vmb	will	will	0
and	and	cc	and	and	0
pleasure	pleasure	n1	pleasure	pleasure	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
this	this	d	this	this	0
acte	acte	n1	act	act	0
it	it	pn31	it	it	0
appeareth	appeareth	vvz	appears	appear	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
trade	trade	n1	trade	trade	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
[	[	[	[	[	0
III	III	crd	III	three	0
.	.	.	.	.	1
132.	132.	crd	132.	132.	0
]	]	]	]	]	0
to	to	pc-acp	to	to	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
was	was	vbds	was	be	0
common	common	j	common	common	0
and	and	cc	and	and	0
frequented	frequented	vvn	frequented	frequent	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
raigne	raigne	n1	reign	reign	0
of	of	pp-f	of	of	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
6.	6.	crd	6.	6.	0
namely	namely	av	namely	namely	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1548.	1548.	crd	1548.	1548.	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
marveiled	marveiled	vvd	marveiled	marveil	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
negligence	negligence	n1	negligence	negligence	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
men	men	n2	men	man	0
,	,	,	,	,	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
this	this	d	this	this	0
time	time	n1	time	time	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
no	no	dx	no	no	0
better	better	jc	better	better	0
searched	searched	vvd	searched	search	0
.	.	.	.	.	1
