The	The	dt	The	the	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
direction	direction	n1	direction	direction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Agent	Agent	n1	Agent	agent	0
or	or	cc	or	or	0
Agents	Agents	n2	Agents	agent	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
given	given	vvn	given	give	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
prosecute	prosecute	vvi	prosecute	prosecute	0
and	and	cc	and	and	0
doe	doe	vdb	do	do	0
all	all	d	all	all	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
lieth	lieth	vvz	lies	lie	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
renowme	renowme	n1	renown	renown	0
,	,	,	,	,	0
commoditie	commoditie	n1	commodity	commodity	0
,	,	,	,	,	0
benefite	benefite	n1	benefit	benefit	0
and	and	cc	and	and	0
profite	profite	n1	profit	profit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
fellowship	fellowship	n1	fellowship	fellowship	0
:	:	:	:	:	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
directly	directly	av-j	directly	direct	0
or	or	cc	or	or	0
indirectly	indirectly	av-j	indirectly	indirect	0
,	,	,	,	,	0
openly	openly	av-j	openly	open	0
or	or	cc	or	or	0
covertly	covertly	av-j	covertly	covert	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
exercise	exercise	n1	exercise	exercise	0
or	or	cc	or	or	0
use	use	vvi	use	use	0
any	any	d	any	any	0
trade	trade	n1	trade	trade	0
or	or	cc	or	or	0
feate	feate	n1	feat	feat	0
of	of	pp-f	of	of	0
marchandizes	marchandizes	n2	merchandizes	merchandize	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
private	private	j	private	private	0
account	account	n1	account	account	0
,	,	,	,	,	0
commodity	commodity	n1	commodity	commodity	0
,	,	,	,	,	0
gaine	gaine	n1	gain	gain	0
or	or	cc	or	or	0
profite	profite	n1	profit	profit	0
,	,	,	,	,	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
person	person	n1	person	person	0
or	or	cc	or	or	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
consent	consent	n1	consent	consent	0
or	or	cc	or	or	0
licence	licence	n1	licence	licence	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
said	said	j-vvn	said	say	0
fellowship	fellowship	n1	fellowship	fellowship	0
,	,	,	,	,	0
first	first	ord	first	first	0
obtained	obtained	vvn	obtained	obtain	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
know	know	vvi	know	know	0
or	or	cc	or	or	0
understand	understand	vvi	understand	understand	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
person	person	n1	person	person	0
or	or	cc	or	or	0
persons	persons	n2	persons	person	0
to	to	pc-acp	to	to	0
use	use	vvi	use	use	0
,	,	,	,	,	0
exercise	exercise	n1	exercise	exercise	0
or	or	cc	or	or	0
doe	doe	vdb	do	do	0
any	any	d	any	any	0
trade	trade	n1	trade	trade	0
,	,	,	,	,	0
traffike	traffike	n1	traffic	traffic	0
or	or	cc	or	or	0
feat	feat	n1	feat	feat	0
of	of	pp-f	of	of	0
marchandise	marchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
or	or	cc	or	or	0
their	their	po32	their	their	0
own	own	d	own	own	0
account	account	n1	account	account	0
or	or	cc	or	or	0
accounts	accounts	n2	accounts	account	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
or	or	cc	or	or	0
times	times	n2	times	time	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
that	that	cst	that	that	0
then	then	cs	then	than	0
ye	ye	pn22	you	you	0
shall	shall	vmb	shall	shall	0
truely	truely	av-j	truly	true	0
and	and	cc	and	and	0
plainly	plainly	av-j	plainly	plain	0
disclose	disclose	vvi	disclose	disclose	0
,	,	,	,	,	0
open	open	j	open	open	0
,	,	,	,	,	0
utter	utter	j	utter	utter	0
and	and	cc	and	and	0
reveale	reveale	vvi	reveal	reveal	0
,	,	,	,	,	0
and	and	cc	and	and	0
shew	shew	vvi	show	show	0
the	the	dt	the	the	0
same	same	d	same	same	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
said	said	j-vvn	said	say	0
fellowship	fellowship	n1	fellowship	fellowship	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
fraude	fraude	n1	fraud	fraud	0
,	,	,	,	,	0
colour	colour	n1	colour	colour	0
,	,	,	,	,	0
covin	covin	vvb	covin	covin	0
or	or	cc	or	or	0
delay	delay	n1	delay	delay	0
:	:	:	:	:	0
So	So	av	So	so	0
helpe	helpe	vvb	help	help	0
you	you	pn22	you	you	0
God	God	np1	God	God	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
