OF	OF	pp-f	OF	of	0
preferring	preferring	n-vvg	preferring	prefer	0
of	of	pp-f	of	of	0
sutes	sutes	n2	suits	suit	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
bill	bill	n1	bill	bill	0
,	,	,	,	,	0
exhibited	exhibited	vvn	exhibited	exhibit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
.	.	.	.	.	1
JOhn	JOhn	np1	JOhn	JOhn	0
Basiliwich	Basiliwich	np1	Basiliwich	Basiliwich	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
the	the	dt	the	the	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
William	William	np1	William	William	0
,	,	,	,	,	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
Thomas	Thomas	np1	Thomas	Thomas	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
company	company	n1	company	company	0
sue	sue	vvi	sue	sue	0
unto	unto	p-acp	unto	unto	0
.	.	.	.	.	1
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
7082.	7082.	crd	7082.	7082.	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlds	worlds	ng1	world's	world	0
creation	creation	n1	creation	creation	0
,	,	,	,	,	0
thy	thy	po21	thy	thy	0
Majesties	Majesties	ng1	Majesties	majesty	0
treasurer	treasurer	n1	treasurer	treasurer	0
,	,	,	,	,	0
named	named	vvn	nam	name	0
Gregorie	Gregorie	np1	Gregorie	Gregory	0
Mekitowich	Mekitowich	np1	Mekitowich	Mekitowich	0
Boroz-den	Boroz-den	n1	Boroz-den	boroz-den	0
,	,	,	,	,	0
tooke	tooke	vvd	took	take	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
use	use	n1	use	use	0
12.	12.	crd	12.	12.	0
poods	poods	n2	poods	pood	0
of	of	pp-f	of	of	0
loafe	loafe	n1	loaf	loaf	0
sugar	sugar	n1	sugar	sugar	0
,	,	,	,	,	0
prised	prised	vvn	prised	prise	0
at	at	p-acp	at	at	0
8.	8.	crd	8.	8.	0
robles	robles	n2	robles	roble	0
the	the	dt	the	the	0
pood	pood	n1	pood	pood	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
sugar	sugar	n1	sugar	sugar	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
II	II	crd	II	two	0
Sloboda	Sloboda	np1	Sloboda	Sloboda	0
.	.	.	.	.	1
More	More	n1	More	moor	0
,	,	,	,	,	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Gregorie	Gregorie	np1	Gregorie	Gregory	0
treasurer	treasurer	n1	treasurer	treasurer	0
,	,	,	,	,	0
tooke	tooke	vvd	took	take	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
II	II	crd	II	two	0
The	The	dt	The	the	0
Empe-for	Empe-for	j	Empe-for	empe-for	0
thy	thy	po21	thy	thy	0
Majestie	Majestie	n1	Majesty	majesty	0
200.	200.	crd	200.	200.	0
reames	reames	n2	reams	ream	0
of	of	pp-f	of	of	0
paper	paper	n1	paper	paper	0
,	,	,	,	,	0
prised	prised	vvn	prised	prise	0
at	at	p-acp	at	at	0
20.	20.	crd	20.	20.	0
rours	rours	ng1	rours	rours	0
altines	altines	n1	altines	altines	0
the	the	dt	the	the	0
reame	reame	n1	ream	ream	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
money	money	n1	money	money	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
bene	bene	vbn	be	be	0
'	'	'	'	'	0
payd	payd	vvn	paid	pay	0
which	which	r-crq	which	which	0
amounteth	amounteth	vvz	amounteth	amount	0
to	to	p-acp	to	to	0
216.	216.	crd	216.	216.	0
robles	robles	n2	robles	roble	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
84.	84.	crd	84.	84.	0
yeere	yeere	n1	year	year	0
thy	thy	po21	thy	thy	0
diake	diake	n1	diake	diake	0
Stephan	Stephan	np1	Stephan	Stephan	0
Lighachdo	Lighachdo	np1	Lighachdo	Lighachdo	0
tooke	tooke	vvd	took	take	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
Majesty	Majesty	n1	Majesty	majesty	0
copper	copper	n1	copper	copper	0
plates	plates	n2	plataeae	plate	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
1032.	1032.	crd	1032.	1032.	0
robles	robles	n2	robles	roble	0
and	and	cc	and	and	0
one	one	crd	one	one	0
fourth	fourth	ord	fourth	four	0
part	part	n1	part	part	0
unpayd	unpayd	j	unpaid	unpaid	0
for	for	p-acp	for	for	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
84.	84.	crd	84.	84.	0
yeere	yeere	n1	year	year	0
thy	thy	po21	thy	thy	0
Majesties	Majesties	ng1	Majesties	majesty	0
diakes	diakes	n2	diakes	diake	0
called	called	vvn	called	call	0
Ivan	Ivan	np1	Ivan	Ivan	0
Blasghoy	Blasghoy	np1	Blasghoy	Blasghoy	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ivan	Ivan	np1	Ivan	Ivan	0
Sobakin	Sobakin	np1	Sobakin	Sobakin	0
tooke	tooke	vvd	took	take	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
use	use	n1	use	use	0
,	,	,	,	,	0
sundry	sundry	j	sundry	sundry	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
payd	payd	vvn	paid	pay	0
630.	630.	crd	630.	630.	0
robles	robles	n2	robles	roble	0
,	,	,	,	,	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
money	money	n1	money	money	0
due	due	j-jn	due	due	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
85.	85.	crd	85.	85.	0
yeere	yeere	n1	year	year	0
thy	thy	po21	thy	thy	0
Majesties	Majesties	ng1	Majesties	majesty	0
treasurer	treasurer	n1	treasurer	treasurer	0
Peter	Peter	np1	Peter	Peter	0
[	[	[	[	[	0
I	I	pns11	I	i	0
.	.	.	.	.	0
464.	464.	crd	464.	464.	0
]	]	]	]	]	1
Gholoven	Gholoven	n1	Gholoven	gholoven	0
tooke	tooke	vvd	took	take	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
sorts	sorts	n2	sorts	sort	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
payd	payd	vvn	paid	pay	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
money	money	n1	money	money	0
due	due	j-jn	due	due	0
therefore	therefore	av	therefore	therefore	0
538.	538.	crd	538.	538.	0
robles	robles	n2	robles	roble	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
88.	88.	crd	88.	88	0
yeere	yeere	n1	year	year	0
,	,	,	,	,	0
thy	thy	po21	thy	thy	0
diakes	diakes	n2	diakes	diake	0
Andrea	Andrea	np1	Andrea	Andrea	0
Shalkan	Shalkan	np1	Shalkan	Shalkan	0
,	,	,	,	,	0
and	and	cc	and	and	0
Istomay	Istomay	np1	Istomay	Istomay	0
Yevskoy	Yevskoy	np1	Yevskoy	Yevskoy	0
tooke	tooke	vvd	took	take	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
lead	lead	vvi	led	lead	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
267.	267.	crd	267.	267.	0
robles	robles	n2	robles	roble	0
and	and	cc	and	and	0
a	a	dt	a	a	0
halfe	halfe	n-jn	half	half	0
not	not	xx	not	not	0
payd	payd	vvn	paid	pay	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
yeere	yeere	n1	year	year	0
thy	thy	po21	thy	thy	0
Majesties	Majesties	n2	Majesties	majesty	0
diak	diak	vvi	diak	diak	0
Boris	Boris	np1	Boris	Boris	0
Gregoriwich	Gregoriwich	np1	Gregoriwich	Gregoriwich	0
had	had	vhd	had	have	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
use	use	n1	use	use	0
15.	15.	crd	15.	15.	0
broad	broad	j	broad	broad	0
cloths	cloths	n2	clothes	clothes	0
of	of	pp-f	of	of	0
diverse	diverse	j	diverse	diverse	0
329	329	crd	329	329	0
sorts	sorts	n2	sorts	sort	0
,	,	,	,	,	0
prised	prised	vvn	prised	prise	0
at	at	p-acp	at	at	0
210.	210.	crd	210.	210.	0
robles	robles	n2	robles	roble	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
90.	90.	crd	90.	90.	0
robles	robles	n2	robles	roble	0
are	are	vbr	are	be	0
unpayd	unpayd	j	unpaid	unpaid	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
88.	88.	crd	88.	88	0
yere	yere	n1	year	year	0
thy	thy	po21	thy	thy	0
diak	diak	vvi	diak	diak	0
Andrea	Andrea	np1	Andrea	Andrea	0
Shalkan	Shalkan	np1	Shalkan	Shalkan	0
tooke	tooke	vvd	took	take	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
1000.	1000.	crd	1000.	1000	0
robles	robles	n2	robles	roble	0
for	for	p-acp	for	for	0
thee	thee	pno21	thee	thou	0
(	(	(	(	(	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
ready	ready	j	ready	ready	0
money	money	n1	money	money	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
whether	whether	cs	whither	whether	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
Majesties	Majesties	ng1	Majesties	majesty	0
appointment	appointment	n1	appointment	appointment	0
.	.	.	.	.	1
And	And	cc	And	and	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
89.	89.	crd	89.	89.	0
yeere	yeere	n1	year	year	0
(	(	(	(	(	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
thy	thy	po21	thy	thy	0
diak	diak	vvi	diak	diak	0
Andrea	Andrea	np1	Andrea	Andrea	0
Shalkan	Shalkan	np1	Shalkan	Shalkan	0
tooke	tooke	vvd	took	take	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
Majesty	Majesty	n1	Majesty	majesty	0
500.	500.	crd	500.	500	0
robles	robles	n2	robles	roble	0
,	,	,	,	,	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
whether	whether	cs	whither	whether	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
Majesties	Majesties	ng1	Majesties	majesty	0
order	order	n1	order	order	0
or	or	cc	or	or	0
no	no	uh-dx	no	no	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
thy	thy	po21	thy	thy	0
authorized	authorized	vvn	authorized	authorize	0
people	people	n1	people	people	0
do	do	vdb	do	do	0
yeerely	yeerely	av-j	yearly	yearly	0
take	take	vvi	take	take	0
away	away	av	away	away	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
do	do	vdb	do	do	0
they	they	pns32	they	they	0
give	give	vvb	give	give	0
us	us	pno12	us	we	0
right	right	vvi	right	right	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
cause	cause	n1	cause	cause	0
.	.	.	.	.	1
All	All	av-d	All	all	0
the	the	dt	the	the	0
mony	mony	n1	money	money	0
(	(	(	(	(	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
payd	payd	vvn	paid	pay	0
us	us	pno12	us	we	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
Majesties	Majesties	ng1	Majesties	majesty	0
treasury	treasury	n1	treasury	treasury	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
commodities	commodities	n2	commodities	commodity	0
or	or	cc	or	or	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
money	money	n1	money	money	0
taken	taken	vvn	taken	take	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
by	by	p-acp	by	by	0
Andrea	Andrea	np1	Andrea	Andrea	0
Shalkan	Shalkan	np1	Shalkan	Shalkan	0
,	,	,	,	,	0
is	is	vbz	is	be	0
4273.	4273.	crd	4273.	4273.	0
robles	robles	n2	robles	roble	0
25.	25.	crd	25.	25.	0
al	al	d	all	all	0
tines	tines	n2	tines	tine	0
.	.	.	.	.	1
Right	Right	av-jn	Right	right	0
noble	noble	j	noble	noble	0
king	king	n1	king	king	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
shew	shew	vvb	show	show	0
thy	thy	po21	thy	thy	0
mercy	mercy	n1	mercy	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
cause	cause	vvi	cause	cause	0
the	the	dt	the	the	0
money	money	n1	money	money	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
payd	payd	vvn	paid	pay	0
us	us	pno12	us	we	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
owing	owing	vvg	owing	owe	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
taken	taken	vvn	taken	take	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
:	:	:	:	:	0
extend	extend	vvb	extend	extend	0
thy	thy	po21	thy	thy	0
favor	favor	n1	favour	favour	0
,	,	,	,	,	0
King	King	n1	King	king	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Henrie	Henrie	np1	Henrie	Henry	0
Lane	Lane	n1	Lane	lane	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worshipfull	worshipfull	j	worshipful	worshipful	0
M.	M.	n1	M.	m.	0
William	William	np1	William	William	0
Sanderson	Sanderson	np1	Sanderson	Sanderson	0
,	,	,	,	,	0
conteining	conteining	vvg	containing	contain	0
a	a	dt	a	a	0
briefe	briefe	j	brief	brief	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
passed	passed	vvd	passed	pass	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
discovery	discovery	n1	discovery	discovery	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
three	three	crd	three	three	0
and	and	cc	and	and	0
thirtie	thirtie	crd	thirtie	thirty	0
yeres	yeres	n2	years	year	0
.	.	.	.	.	1
Aster	Aster	np1	Aster	Aster	0
Sanderson	Sanderson	np1	Sanderson	Sanderson	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
lately	lately	av-j	lately	late	0
requested	requested	vvd	requested	request	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
so	so	av	so	so	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
sought	sought	vvn	sought	seek	0
,	,	,	,	,	0
and	and	cc	and	and	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
finde	finde	vvi	find	find	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
heretofore	heretofore	av	heretofore	heretofore	0
I	I	pns11	I	i	0
kept	kept	vvd	kept	keep	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
and	and	cc	and	and	0
lent	lent	vvd	lent	lend	0
out	out	av	out	out	0
to	to	p-acp	to	to	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
perusing	perusing	vvg	perusing	peruse	0
at	at	p-acp	at	at	0
London	London	np1	London	London	0
copies	copies	n2	copies	copy	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
old	old	j	old	old	0
letters	letters	n2	letters	letter	0
to	to	pc-acp	to	to	0
content	content	vvi	content	content	0
one	one	pi	one	one	0
that	that	cst	that	that	0
meaneth	meaneth	vvz	means	mean	0
to	to	pc-acp	to	to	0
pleasure	pleasure	vvi	pleasure	pleasure	0
many	many	d	many	many	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
briefly	briefly	av-j	briefly	brief	0
and	and	cc	and	and	0
as	as	a-acp	as	as	0
truly	truly	av-j	truly	true	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
,	,	,	,	,	0
drawen	drawen	vvn	drawn	draw	0
out	out	av	out	out	0
as	as	a-acp	as	as	0
followeth	followeth	vvz	follows	follow	0
:	:	:	:	:	0
The	The	dt	The	the	0
rough	rough	j	rough	rough	0
hewing	hewing	vvg	hewing	hew	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
planed	planed	vvn	planed	plane	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
leasure	leasure	n1	leisure	leisure	0
,	,	,	,	,	0
or	or	cc	or	or	0
as	as	a-acp	as	as	0
pleaseth	pleaseth	vvz	pleases	please	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
paines	paines	n2	pains	pain	0
.	.	.	.	.	1
First	First	np1	First	First	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
attempt	attempt	n1	attempt	attempt	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
Northeast	Northeast	np1	Northeast	Northeast	0
and	and	cc	and	and	0
Northwest	Northwest	av-an	Northwest	northwest	0
named	named	vvn	nam	name	0
for	for	p-acp	for	for	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
being	being	vbg	being	be	0
chiefly	chiefly	av-jn	chiefly	chief	0
33°	33°	n1	33°	33°	1
