between	between	p-acp	between	between	0
wanting	wanting	vvg	wanting	want	0
,	,	,	,	,	0
whensoever	whensoever	c-crq	whensoever	whensoever	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
to	to	pc-acp	to	to	0
dispose	dispose	vvi	dispose	dispose	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
humbly	humbly	av-j	humbly	humble	0
to	to	pc-acp	to	to	0
desire	desire	vvi	desire	desire	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
knowen	knowen	vvn	known	know	0
unto	unto	p-acp	unto	unto	0
her	her	po31	her	her	0
Majesty	Majesty	n1	Majesty	majesty	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
her	her	po31	her	her	0
Majesty	Majesty	n1	Majesty	majesty	0
service	service	n1	service	service	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
her	her	pno31	her	she	0
the	the	dt	the	the	0
victory	victory	n1	victory	victory	0
over	over	p-acp	over	over	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
yer	yer	n1	year	year	0
long	long	av-j	long	long	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
her	her	pno31	her	she	0
overthrow	overthrow	vvi	overthrow	overthrow	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
wealth	wealth	n1	wealth	wealth	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
mainteined	mainteined	vvn	maintained	maintain	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
their	their	po32	their	their	0
warres	warres	n2	wars	war	0
,	,	,	,	,	0
are	are	vbr	are	be	0
now	now	av	now	now	0
perfectly	perfectly	av-j	perfectly	perfect	0
discovered	discovered	vvn	discovered	discover	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
please	please	vvb	please	please	0
her	her	po31	her	her	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
very	very	j	very	very	0
small	small	j	small	small	0
power	power	n1	power	power	0
she	she	pns31	she	she	0
may	may	vmb	may	may	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
spoile	spoile	n1	spoil	spoil	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
It	It	pn31	It	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
376	376	crd	376	376	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
circompasse	circompasse	vvi	circompasse	circompasse	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
globe	globe	n1	globe	globe	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
entring	entring	vvg	entering	enter	0
in	in	p-acp	in	in	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Streight	Streight	n1	Straight	strait	0
of	of	pp-f	of	of	0
Magellan	Magellan	np1	Magellan	Magellan	0
,	,	,	,	,	0
and	and	cc	and	and	0
returning	returning	vvg	returning	return	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
cape	cape	n1	cape	cape	0
de	de	fw-fr	de	de	0
Buena	Buena	fw-es	Buena	buena	0
Esperanza	Esperanza	fw-es	Esperanza	esperanza	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
voyage	voyage	n1	voyage	voyage	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
either	either	av-d	either	either	0
discovered	discovered	vvn	discovered	discover	0
or	or	cc	or	or	0
brought	brought	vvd	brought	bring	0
certeine	certeine	j	certain	certain	0
intelligence	intelligence	n1	intelligence	intelligence	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
were	were	vbdr	were	be	0
knowen	knowen	vvn	known	know	0
or	or	cc	or	or	0
discovered	discovered	vvn	discovered	discover	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
Christian	Christian	njp	Christian	christian	0
.	.	.	.	.	1
I	I	pns11	I	i	0
navigated	navigated	vvn	navigated	navigate	0
alongst	alongst	p-acp	alongst	alongst	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Chili	Chili	np1	Chili	Chili	0
,	,	,	,	,	0
Peru	Peru	np1	Peru	Peru	0
,	,	,	,	,	0
and	and	cc	and	and	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
great	great	j	great	great	0
spoiles	spoiles	n2	spoils	spoil	0
:	:	:	:	:	0
I	I	pns11	I	i	0
burnt	burnt	vvd	burned	burn	0
and	and	cc	and	and	0
sunke	sunke	vvd	sunk	sink	0
19	19	crd	19	19	0
sailes	sailes	n2	sails	sail	0
of	of	pp-f	of	of	0
ships	ships	n2	ships	ship	0
small	small	j	small	small	0
and	and	cc	and	and	0
great	great	j	great	great	0
.	.	.	.	.	1
All	All	av-d	All	all	0
the	the	dt	the	the	0
villages	villages	n2	villages	village	0
and	and	cc	and	and	0
townes	townes	n2	towns	town	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
I	I	pns11	I	i	0
landed	landed	vvd	landed	land	0
at	at	p-acp	at	at	0
,	,	,	,	,	0
I	I	pns11	I	i	0
burnt	burnt	vvd	burned	burn	0
and	and	cc	and	and	0
spoiled	spoiled	vvn	spoiled	spoil	0
:	:	:	:	:	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
bene	bene	vbn	be	be	0
discovered	discovered	vvn	discovered	discover	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
great	great	j	great	great	0
quantitie	quantitie	n1	quantity	quantity	0
of	of	pp-f	of	of	0
treasure	treasure	n1	treasure	treasure	0
.	.	.	.	.	1
The	The	dt	The	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
profit	profit	n1	profit	profit	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
was	was	vbds	was	be	0
a	a	av	a	a	0
great	great	j	great	great	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
tooke	tooke	vvd	took	take	0
at	at	p-acp	at	at	0
California	California	np1	California	California	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
ship	ship	n1	ship	ship	0
came	came	vvd	came	come	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Philippinas	Philippinas	npg1	Philippinas	philippinas	0
,	,	,	,	,	0
being	being	vbg	being	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
richest	richest	js	richest	rich	0
of	of	pp-f	of	of	0
merchandize	merchandize	n1	merchandise	merchandise	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
passed	passed	vvd	passed	pass	0
those	those	d	those	those	0
seas	seas	n2	seas	sea	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
register	register	n1	register	register	0
and	and	cc	and	and	0
merchants	merchants	n2	merchant's	merchant	0
accounts	accounts	n2	accounts	account	0
did	did	vdd	did	do	0
shew	shew	vvi	show	show	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
amount	amount	vvi	amount	amount	0
in	in	p-acp	in	in	0
value	value	n1	valve	value	0
to	to	pc-acp	to	to	0
*	*	*	*	*	0
in	in	p-acp	in	in	0
Mexico	Mexico	np1	Mexico	Mexico	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
solde	solde	vvn	sold	sell	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
goods	goods	n2-j	goods	good	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
my	my	po11	my	my	0
ships	ships	n2	ships	ship	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
conteine	conteine	vvi	contain	contain	0
the	the	dt	the	the	0
least	least	ds	least	least	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
)	)	)	)	)	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
inforced	inforced	vvn	enforced	enforce	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
on	on	p-acp	on	on	0
fire	fire	n1	fire	fire	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
the	the	dt	the	the	0
cape	cape	n1	cape	cape	0
of	of	pp-f	of	of	0
California	California	np1	California	California	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
uttermost	uttermost	j	uttermost	uttermost	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
I	I	pns11	I	i	0
navigated	navigated	vvn	navigated	navigate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Islands	Islands	n2	Islands	island	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Philippinas	Philippinas	npg1	Philippinas	philippinas	0
hard	hard	j	hard	hard	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
countrey	countrey	n1	country	country	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
brought	brought	vvn	brought	bring	0
such	such	d	such	such	0
intelligence	intelligence	n1	intelligence	intelligence	0
as	as	a-acp	as	as	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
bene	bene	vbn	be	be	0
heard	heard	vvn	herd	hear	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
The	The	dt	The	the	0
statelinesse	statelinesse	n1	stateliness	stateliness	0
and	and	cc	and	and	0
riches	riches	n2	riches	riches	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
countrey	countrey	n1	country	country	0
I	I	pns11	I	i	0
feare	feare	vvb	fear	fear	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
least	least	cs	lest	lest	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
credited	credited	vvn	credited	credit	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
knowen	knowen	vvn	known	know	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
the	the	dt	the	the	0
incomparable	incomparable	j	incomparable	incomparable	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
bene	bene	vbn	be	be	0
as	as	a-acp	as	as	0
incredulous	incredulous	j	incredulous	incredulous	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
others	others	n2-jn	others	other	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
like	like	j	like	like	0
experience	experience	n1	experience	experience	0
.	.	.	.	.	1
I	I	pns11	I	i	0
sailed	sailed	vvd	sailed	sail	0
along	along	a-acp	along	along	0
the	the	dt	the	the	0
Hands	Hands	n2	Hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Malucos	Malucos	np1	Malucos	Malucos	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
among	among	p-acp	among	among	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
heathen	heathen	j-jn	heathen	heathen	0
people	people	n1	people	people	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
well	well	av	well	well	0
intreated	intreated	vvn	entreated	entreat	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
our	our	po12	our	our	0
countrey	countrey	n1	country	country	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
trade	trade	n1	trade	trade	0
as	as	c-acp	as	as	0
freely	freely	av-j	freely	free	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
themselves	themselves	px32	themselves	themselves	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
thence	thence	av	thence	thence	0
I	I	pns11	I	i	0
passed	passed	vvd	passed	pass	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
cape	cape	n1	cape	cape	0
of	of	pp-f	of	of	0
Buena	Buena	fw-es	Buena	buena	0
Esperanza	Esperanza	fw-es	Esperanza	esperanza	0
,	,	,	,	,	0
and	and	cc	and	and	0
found	found	vvd	found	find	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
homeward	homeward	av	homeward	homeward	0
the	the	dt	the	the	0
iland	iland	n1	island	island	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Helena	Helena	np1	Helena	Helena	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
use	use	vvb	use	use	0
to	to	pc-acp	to	to	0
relieve	relieve	vvi	relieve	relieve	0
themselves	themselves	px32	themselves	themselves	0
:	:	:	:	:	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
iland	iland	n1	island	island	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
suffered	suffered	vvn	suffered	suffer	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
into	into	p-acp	into	into	0
377	377	crd	377	377	0
England	England	np1	England	England	0
.	.	.	.	.	1
All	All	av-d	All	all	0
which	which	r-crq	which	which	0
services	services	n2	services	service	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
prostrate	prostrate	vvb	prostrate	prostrate	0
at	at	p-acp	at	at	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
feet	feet	n2	feet	foot	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
long	long	j	long	long	0
to	to	pc-acp	to	to	0
continue	continue	vvi	continue	continue	0
her	her	po31	her	her	0
reigne	reigne	n1	reign	reign	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
famous	famous	j	famous	famous	0
and	and	cc	and	and	0
victorious	victorious	j	victorious	victorious	0
prince	prince	n1	prince	prince	0
that	that	cst	that	that	0
liveth	liveth	vvz	lives	live	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
humbly	humbly	av-j	humbly	humble	0
desiring	desiring	vvg	desiring	desire	0
pardon	pardon	n1	pardon	pardon	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
tediousnesse	tediousnesse	n1	tediousness	tediousness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
leave	leave	vvb	leave	leave	0
your	your	po22	your	your	0
lordship	lordship	n1	lordship	lordship	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tuition	tuition	n1	tuition	tuition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
.	.	.	.	.	1
Plimmouth	Plimmouth	np1	Plimmouth	Plymouth	0
this	this	d	this	this	0
ninth	ninth	ord	ninth	nine	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
1588.	1588.	crd	1588.	1588.	1
Your	Your	po22	Your	your	0
honours	honours	n2	honours	honour	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Candish	Candish	vvb	Candish	candish	0
.	.	.	.	.	1
Certeine	Certeine	j	Certain	certain	0
notes	notes	n2	notes	note	0
or	or	cc	or	or	0
references	references	n2	references	reference	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
large	large	j	large	large	0
map	map	n1	map	map	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
,	,	,	,	,	0
brought	brought	vvd	brought	bring	0
home	home	av-an	home	home	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Candish	Candish	vvb	Candish	candish	0
1588.	1588.	crd	1588.	1588.	1
He	He	pns31	He	he	0
great	great	j	great	great	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mogores	Mogores	np1	Mogores	Mogores	0
is	is	vbz	is	be	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Northwest	Northwest	av-an	Northwest	northwest	0
,	,	,	,	,	0
and	and	cc	and	and	0
falleth	falleth	vvz	falls	fall	0
upon	upon	p-acp	upon	upon	0
Tanassarin	Tanassarin	np1	Tanassarin	Tanassarin	0
beyond	beyond	p-acp	beyond	beyond	0
Malaca	Malaca	np1	Malaca	Malaca	0
,	,	,	,	,	0
and	and	cc	and	and	0
joyneth	joyneth	vvz	joineth	join	0
upon	upon	p-acp	upon	upon	0
Bengala	Bengala	np1	Bengala	Bengala	0
:	:	:	:	:	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
use	use	vvb	use	use	0
no	no	dx	no	no	0
fight	fight	n1	fight	fight	0
but	but	cc-acp	but	but	0
on	on	p-acp	on	on	0
horsebacke	horsebacke	n1	horseback	horseback	0
:	:	:	:	:	0
they	they	pns32	they	they	0
go	go	vvb	go	go	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
apparell	apparell	n1	apparel	apparel	0
like	like	av-j	like	like	0
Portugals	Portugals	np2	Portugals	Portugal	0
.	.	.	.	.	1
2	2	crd	2	2	0
A	A	dt	A	a	0
city	city	n1	city	city	0
,	,	,	,	,	0
wherein	wherein	q-crq	wherein	wherein	0
