The	The	dt	The	the	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
therefore	therefore	av	therefore	therefore	0
we	we	pns12	we	we	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
invasion	invasion	n1	invasion	invasion	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
king	king	n1	king	king	0
knowing	knowing	vvg	knowing	know	0
359	359	crd	359	359	0
the	the	cs	the	than	0
same	same	d	same	same	0
tribute	tribute	n1	tribute	tribute	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
but	but	cc-acp	but	but	0
justly	justly	av-j	justly	just	0
demaunded	demaunded	vvd	demanded	demand	0
,	,	,	,	,	0
had	had	vhd	had	have	0
now	now	av	now	now	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
desire	desire	n1	desire	desire	0
satisfied	satisfied	vvn	satisfied	satisfy	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
past	past	j	past	past	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
paied	paied	vvd	paid	pay	0
his	his	po31	his	his	0
tribute	tribute	n1	tribute	tribute	0
before	before	p-acp	before	before	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
Then	Then	av	Then	then	0
sayd	sayd	vvd	said	say	0
he	he	pns31	he	he	0
,	,	,	,	,	0
My	My	po11	My	my	0
Lords	Lords	n2	Lords	lord	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
this	this	d	this	this	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
purpose	purpose	n1	purpose	purpose	0
?	?	?	?	?	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
not	not	xx	not	not	0
here	here	av	here	here	0
all	all	av-d	all	all	0
assembled	assembled	vvn	assembled	assemble	0
,	,	,	,	,	0
&	&	cc	&	and	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Character	Character	n1	Character	character	0
to	to	pc-acp	to	to	0
fight	fight	vvi	fight	fight	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
infidels	infidels	n2	infidels	infidel	0
&	&	cc	&	and	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
?	?	?	?	?	1
What	What	q-crq	What	what	0
meane	meane	vvb	mean	mean	0
you	you	pn22	you	you	0
then	then	av	then	then	0
to	to	pc-acp	to	to	0
conclude	conclude	vvi	conclude	conclude	0
a	a	dt	a	a	0
peace	peace	n1	peace	peace	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
?	?	?	?	?	1
God	God	np1	God	God	0
forbid	forbid	vvb	forbid	forbid	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
do	do	vdi	do	do	0
so	so	av	so	so	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
now	now	av	now	now	0
the	the	dt	the	the	0
land	land	n1	land	land	0
is	is	vbz	is	be	0
plaine	plaine	j	plain	plain	0
and	and	cc	and	and	0
hard	hard	av-j	hard	hard	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
approch	approch	vvi	approach	approach	0
to	to	p-acp	to	to	0
ye	ye	pn22	you	you	0
holy	holy	j	holy	holy	0
city	city	n1	city	city	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
.	.	.	.	.	1
Then	Then	av	Then	then	0
said	said	vvd	said	say	0
they	they	pns32	they	they	0
,	,	,	,	,	0
now	now	av	now	now	0
have	have	vhb	have	have	0
we	we	pns12	we	we	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
league	league	n1	league	league	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
lawful	lawful	j	lawful	lawful	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
breake	breake	vvi	break	break	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
returne	returne	vvi	return	return	0
againe	againe	av	again	again	0
to	to	p-acp	to	to	0
Sicilia	Sicilia	np1	Sicilia	Sicilia	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
winter	winter	n1	winter	winter	0
is	is	vbz	is	be	0
past	past	j	past	past	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
well	well	av	well	well	0
take	take	vvi	take	take	0
shipping	shipping	vvg	shipping	ship	0
to	to	p-acp	to	to	0
Aera	Aera	np1	Aera	Aera	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
counsel	counsel	n1	counsel	counsel	0
nothing	nothing	pix	nothing	nothing	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
liked	liked	vvd	liked	like	0
him	him	pno31	him	he	0
,	,	,	,	,	0
neither	neither	dx	neither	neither	0
did	did	vdd	did	do	0
he	he	pns31	he	he	0
shew	shew	vvi	show	show	0
himselfe	himselfe	px31	himself	himself	0
wel	wel	av	well	well	0
pleased	pleased	vvn	pleased	please	0
therewith	therewith	av	therewith	therewith	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
after	after	c-acp	after	after	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
made	made	vvn	made	make	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
princely	princely	j	princely	princely	0
banket	banket	n1	banquet	banquet	0
,	,	,	,	,	0
he	he	pns31	he	he	0
went	went	vvd	went	go	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
closet	closet	n1	closet	closet	0
or	or	cc	or	or	0
privy	privy	j	privy	privy	0
chamber	chamber	n1	chamber	chamber	0
from	from	p-acp	from	from	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
neither	neither	dx	neither	neither	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
partaker	partaker	n1	partaker	partaker	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
wicked	wicked	j	wicked	wicked	0
money	money	n1	money	money	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
.	.	.	.	.	1
They	They	pns32	They	they	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
continuing	continuing	vvg	continuing	continue	0
their	their	po32	their	their	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
next	next	ord	next	next	0
mery	mery	j	merry	merry	0
wind	wind	n1	wind	wind	0
tooke	tooke	vvd	took	take	0
shipping	shipping	vvg	shipping	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
ships	ships	n2	ships	ship	0
left	left	vvn	left	leave	0
200.	200.	crd	200.	200.	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
men	men	n2	men	man	0
a	a	dt	a	a	0
shore	shore	n1	shore	shore	0
,	,	,	,	,	0
crying	crying	vvg	crying	cry	0
out	out	av	out	out	0
,	,	,	,	,	0
and	and	cc	and	and	0
pitiously	pitiously	av-j	piteous	piteous	0
lamenting	lamenting	vvg	lamenting	lament	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
peril	peril	n1	peril	peril	0
and	and	cc	and	and	0
hazard	hazard	n1	hazard	hazard	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
in	in	a-acp	in	in	0
:	:	:	:	:	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
prince	prince	n1	prince	prince	0
Edward	Edward	np1	Edward	Edward	0
being	being	vbg	being	be	0
somewhat	somewhat	av	somewhat	somewhat	0
mooved	mooved	vvn	moved	move	0
to	to	p-acp	to	to	0
compassion	compassion	n1	compassion	compassion	0
,	,	,	,	,	0
came	came	vvd	came	come	0
backe	backe	av	back	back	0
againe	againe	av	again	again	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
received	received	vvd	received	receive	0
and	and	cc	and	and	0
stowed	stowed	vvn	stowed	stow	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
last	last	ord	last	last	0
that	that	cst	that	that	0
went	went	vvd	went	go	0
aboord	aboord	a-acp	aboard	aboard	0
.	.	.	.	.	1
Within	Within	p-acp	Within	within	0
seven	seven	crd	seven	seven	0
dayes	dayes	n2	days	day	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
they	they	pns32	they	they	0
arrived	arrived	vvd	arrived	arrive	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
kingdom	kingdom	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Sicilia	Sicilia	np1	Sicilia	Sicilia	0
,	,	,	,	,	0
over	over	a-acp	over	over	0
agaynst	agaynst	p-acp	against	against	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
Trapes	Trapes	n2	Trapes	trape	0
,	,	,	,	,	0
casting	casting	vvg	casting	cast	0
their	their	po32	their	their	0
ankers	ankers	n2	anchors	anchor	0
a	a	dt	a	a	0
league	league	n1	league	league	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
their	their	po32	their	their	0
shippes	shippes	n2	ships	ship	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
burden	burden	n1	burden	burden	0
,	,	,	,	,	0
and	and	cc	and	and	0
throughly	throughly	av-j	thoroughly	thorough	0
fraught	fraught	vvn	fraught	fraught	0
:	:	:	:	:	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
haven	haven	n1	haven	haven	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
they	they	pns32	they	they	0
sent	sent	vvd	sent	send	0
out	out	av	out	out	0
barges	barges	n2	barges	barge	0
and	and	cc	and	and	0
boates	boates	n2	boats	boat	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
and	and	cc	and	and	0
bring	bring	vvi	bring	bring	0
such	such	d	such	such	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nobilitie	Nobilitie	n1	Nobility	nobility	0
to	to	pc-acp	to	to	0
land	land	vvi	land	land	0
as	as	c-acp	as	as	0
would	would	vmd	would	will	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
their	their	po32	their	their	0
horses	horses	n2	horses	horse	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
their	their	po32	their	their	0
armour	armour	n1	armour	armour	0
they	they	pns32	they	they	0
kept	kept	vvd	kept	keep	0
still	still	av	still	still	0
within	within	p-acp	within	within	0
boord	boord	n1	board	board	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
length	length	n1	length	length	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
evening	evening	n1	evening	evening	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rough	rough	j	rough	rough	0
,	,	,	,	,	0
&	&	cc	&	and	0
increased	increased	vvd	increased	increase	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
great	great	j	great	great	0
tempest	tempest	n1	tempest	tempest	0
and	and	cc	and	and	0
a	a	dt	a	a	0
mightie	mightie	j	mighty	mighty	0
:	:	:	:	:	0
insomuch	insomuch	av	insomuch	insomuch	0
that	that	cst	that	that	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
were	were	vbdr	were	be	0
beaten	beaten	vvn	beaten	beat	0
one	one	pi	one	one	0
against	against	p-acp	against	against	0
anothers	anothers	ng1-jn	another's	another	0
sides	sides	n2	sides	side	0
,	,	,	,	,	0
and	and	cc	and	and	0
drowned	drowned	vvn	drowned	drown	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
360	360	crd	360	360	0
tempest	tempest	n1	tempest	tempest	0
lying	lying	vvg	lying	lie	0
at	at	p-acp	at	at	0
anker	anker	n1	anchor	anchor	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
120.	120.	crd	120.	120.	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
their	their	po32	their	their	0
armour	armour	n1	armour	armour	0
and	and	cc	and	and	0
munition	munition	n1	munition	munition	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
innumerable	innumerable	j	innumerable	innumerable	0
soules	soules	n2	souls	soul	0
besides	besides	a-acp	beside	beside	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
wicked	wicked	j	wicked	wicked	0
money	money	n1	money	money	0
also	also	av	also	also	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
likewise	likewise	av	likewise	likewise	0
perished	perished	vvn	perished	perish	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
lost	lost	vvn	lost	lose	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
tempest	tempest	n1	tempest	tempest	0
hurt	hurt	vvb	hurt	hurt	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
one	one	crd	one	one	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
prince	prince	n1	prince	prince	0
Edwards	Edwards	npg1	Edwards	Edward	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
number	number	n1	number	number	0
13.	13.	crd	13.	13.	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
had	had	vhd	had	have	0
one	one	crd	one	one	0
man	man	n1	man	man	0
lost	lost	vvn	lost	lose	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
presupposed	presupposed	vvn	presupposed	presuppose	0
)	)	)	)	)	0
he	he	pns31	he	he	0
consented	consented	vvd	consented	consent	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
counsell	counsell	n1	counsel	counsel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
the	the	dt	the	the	0
princes	princes	n2	princes	prince	0
and	and	cc	and	and	0
kings	kings	n2	kings	king	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
side	side	n1	side	side	0
,	,	,	,	,	0
and	and	cc	and	and	0
saw	saw	vvd	saw	see	0
all	all	d	all	all	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
drowned	drowned	vvn	drowned	drown	0
,	,	,	,	,	0
and	and	cc	and	and	0
saw	saw	vvd	saw	see	0
their	their	po32	their	their	0
men	men	n2	men	man	0
and	and	cc	and	and	0
horses	horses	n2	horses	horse	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
number	number	n1	number	number	0
cast	cast	vvn	cast	cast	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
land	land	n1	land	land	0
drowned	drowned	vvn	drowned	drown	0
,	,	,	,	,	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
full	full	j	full	full	0
heavie	heavie	j	heavy	heavy	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
