ANTHONY	ANTHONY	np1	ANTHONY	Anthony	0
cities	cities	n2	cities	city	0
under	under	p-acp	under	under	0
our	our	po12	our	our	0
dominion	dominion	n1	dominion	dominion	0
and	and	cc	and	and	0
jurisdiction	jurisdiction	n1	jurisdiction	jurisdiction	0
:	:	:	:	:	0
We	We	pns12	We	we	0
will	will	vmb	will	will	0
and	and	cc	and	and	0
commaund	commaund	vvi	command	command	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
bearer	bearer	n1	bearer	bearer	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
present	present	j	present	present	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
merchant	merchant	n1	merchant	merchant	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
factor	factor	n1	factor	factor	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
bearing	bearing	vvg	bearing	bear	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
letter	letter	n1	letter	letter	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
,	,	,	,	,	0
arrive	arrive	vvb	arrive	arrive	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
ports	ports	n2	ports	port	0
and	and	cc	and	and	0
havens	havens	n2	havens	haven	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
ship	ship	n1	ship	ship	0
or	or	cc	or	or	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
vessels	vessels	n2	vessels	vessel	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
suffer	suffer	vvb	suffer	suffer	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
lade	lade	vvi	lade	lade	0
or	or	cc	or	or	0
unlade	unlade	vvi	unladen	unlade	0
his	his	po31	his	his	0
merchandise	merchandise	n1	merchandise	merchandise	0
wheresoever	wheresoever	c-crq	wheresoever	wheresoever	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
seeme	seeme	vvi	seem	seem	0
good	good	j	good	good	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
traffiking	traffiking	vvg	trafficking	traffic	0
for	for	p-acp	for	for	0
himselfe	himselfe	px31	himself	himself	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
countreys	countreys	ng2	countries'	country	0
and	and	cc	and	and	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
hindering	hindering	vvg	hindering	hinder	0
or	or	cc	or	or	0
any	any	d	any	any	0
way	way	n1	way	way	0
disturbing	disturbing	vvg	disturbing	disturb	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
his	his	po31	his	his	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
his	his	po31	his	his	0
people	people	n1	people	people	0
or	or	cc	or	or	0
merchandise	merchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
enforcing	enforcing	vvg	enforcing	enforce	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
custome	custome	n1	custom	custom	0
or	or	cc	or	or	0
toll	toll	n1	toll	toll	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
persons	persons	n2	persons	person	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
save	save	vvb	save	save	0
onely	onely	av-j	only	only	0
our	our	po12	our	our	0
ordinarie	ordinarie	j	ordinary	ordinary	0
duties	duties	n2	duties	duty	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
custome	custome	n1	custom	custom	0
houses	houses	n2	houses	house	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
paied	paied	vvn	paid	pay	0
,	,	,	,	,	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
franke	franke	j	frank	frank	0
and	and	cc	and	and	0
free	free	j	free	free	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
for	for	c-acp	for	for	0
himselfe	himselfe	px31	himself	himself	0
as	as	p-acp	as	as	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
merchandise	merchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
ship	ship	n1	ship	ship	0
or	or	cc	or	or	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
vessels	vessels	n2	vessels	vessel	0
whatsoever	whatsoever	c-crq	whatsoever	whatsoever	0
:	:	:	:	:	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
doing	doing	vdg	doing	do	0
that	that	d	that	that	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
traffike	traffike	vvi	traffic	traffic	0
,	,	,	,	,	0
bargaine	bargaine	n1	bargain	bargain	0
,	,	,	,	,	0
sell	sell	vvb	fell	sell	0
and	and	cc	and	and	0
buy	buy	vvi	buy	buy	0
,	,	,	,	,	0
lade	lade	vvb	lade	lade	0
and	and	cc	and	and	0
unlade	unlade	vvi	unladen	unlade	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
foresayd	foresayd	j	foresaid	foresaid	0
Countreys	Countreys	ng2	Countries'	country	0
,	,	,	,	,	0
lands	lands	n2	lands	land	0
and	and	cc	and	and	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
like	like	j	like	like	0
liberties	liberties	n2	liberties	liberty	0
and	and	cc	and	and	0
priviledges	priviledges	n2	privileges	privilege	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Frenchmen	Frenchmen	np2	Frenchmen	Frenchman	0
and	and	cc	and	and	0
Venetians	Venetians	njp2	Venetians	venetian	0
use	use	vvb	use	use	0
,	,	,	,	,	0
and	and	cc	and	and	0
enjoy	enjoy	vvi	enjoy	enjoy	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
bee	bee	vbb	be	be	0
possible	possible	j	possible	possible	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
hinderance	hinderance	n1	hindrance	hindrance	0
or	or	cc	or	or	0
impeachment	impeachment	n1	impeachment	impeachment	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
man	man	n1	man	man	0
.	.	.	.	.	1
And	And	cc	And	and	0
furthermore	furthermore	av	furthermore	furthermore	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
charge	charge	vvb	charge	charge	0
and	and	cc	and	and	0
commaund	commaund	vvi	command	command	0
all	all	d	all	all	0
Viceroyes	Viceroyes	n2	Viceroys	viceroy	0
,	,	,	,	,	0
and	and	cc	and	and	0
Consuls	Consuls	n2	Consuls	consul	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
French	French	jp	French	french	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Venetians	Venetians	njp2	Venetians	venetian	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
Consuls	Consuls	n2	Consuls	consul	0
resident	resident	j-jn	resident	resident	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Countreys	Countreys	ng2	Countries'	country	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
port	port	n1	port	port	0
or	or	cc	or	or	0
province	province	n1	province	province	0
soever	soever	av	soever	soever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
constraine	constraine	vvi	constrain	constrain	0
,	,	,	,	,	0
or	or	cc	or	or	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
constraine	constraine	vvi	constrain	constrain	0
109	109	crd	109	109	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Ministers	Ministers	n2	Ministers	minister	0
and	and	cc	and	and	0
Officers	Officers	n2	Officers	officer	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
factor	factor	n1	factor	factor	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
servaunts	servaunts	n2	servants	servant	0
,	,	,	,	,	0
or	or	cc	or	or	0
deputies	deputies	n2	deputies	deputy	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
merchandise	merchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
any	any	d	any	any	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
consullage	consullage	n1	consullage	consullage	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	n-jn	other	other	0
right	right	vvi	right	right	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
intermeddle	intermeddle	vvi	intermeddle	intermeddle	0
or	or	cc	or	or	0
hinder	hinder	vvi	hinder	hinder	0
his	his	po31	his	his	0
affaires	affaires	n2	affairs	affair	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
molest	molest	vvi	molest	molest	0
nor	nor	ccx	nor	nor	0
trouble	trouble	vvi	trouble	trouble	0
him	him	pno31	him	he	0
any	any	d	any	any	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
way	way	n1	way	way	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
our	our	po12	our	our	0
will	will	n1	will	will	0
and	and	cc	and	and	0
pleasure	pleasure	n1	pleasure	pleasure	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
pay	pay	vvi	pay	pay	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
Countreys	Countreys	ng2	Countries'	country	0
,	,	,	,	,	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
then	then	cs	then	than	0
our	our	po12	our	our	0
ordinarie	ordinarie	j	ordinary	ordinary	0
custome	custome	n1	custom	custom	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
case	case	n1	case	case	0
any	any	d	any	any	0
man	man	n1	man	man	0
hinder	hinder	vvi	hinder	hinder	0
and	and	cc	and	and	0
impeach	impeach	vvi	impeach	impeach	0
him	him	pno31	him	he	0
,	,	,	,	,	0
above	above	a-acp	above	above	0
,	,	,	,	,	0
and	and	cc	and	and	0
besides	besides	p-acp	beside	beside	0
these	these	d	these	these	0
our	our	po12	our	our	0
present	present	j	present	present	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
charge	charge	vvb	charge	charge	0
you	you	pn22	you	you	0
most	most	av-ds	most	most	0
expresly	expresly	av-j	expressly	express	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
and	and	cc	and	and	0
assist	assist	vvi	assist	assist	0
him	him	pno31	him	he	0
agaynst	agaynst	p-acp	against	against	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Consuls	Consuls	n2	Consuls	consul	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
obey	obey	vvi	obey	obey	0
our	our	po12	our	our	0
present	present	j	present	present	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
advertise	advertise	vvi	advertise	advertise	0
us	us	pno12	us	we	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
take	take	vvi	take	take	0
such	such	d	such	such	0
order	order	n1	order	order	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
that	that	cst	that	that	0
others	others	n2-jn	others	other	0
may	may	vmb	may	may	0
take	take	vvi	take	take	0
example	example	n1	example	example	0
thereby	thereby	av	thereby	thereby	0
.	.	.	.	.	1
Moreover	Moreover	np1	Moreover	Moreover	0
,	,	,	,	,	0
we	we	pns12	we	we	0
commaund	commaund	vvb	command	command	0
all	all	d	all	all	0
our	our	po12	our	our	0
Captaines	Captaines	n2	Captains	captain	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Gallies	Gallies	n2	Galleys	galley	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Lieutenants	Lieutenants	n2	Lieutenants	lieutenant	0
,	,	,	,	,	0
be	be	vbb	be	be	0
they	they	pns32	they	they	0
Foistes	Foistes	n2	Foists	foist	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
Vessels	Vessels	n2	Vessels	vessel	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
factor	factor	n1	factor	factor	0
,	,	,	,	,	0
his	his	po31	his	his	0
ship	ship	n1	ship	ship	0
or	or	cc	or	or	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
servaunts	servaunts	n2	servants	servant	0
and	and	cc	and	and	0
merchandise	merchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
hurt	hurt	vvd	hurt	hurt	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
neither	neither	av-d	neither	neither	0
in	in	p-acp	in	in	0
body	body	n1	body	body	0
nor	nor	ccx	nor	nor	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
rather	rather	av-c	rather	rather	0
they	they	pns32	they	they	0
assist	assist	vvi	assist	assist	0
and	and	cc	and	and	0
defend	defend	vvi	defend	defend	0
him	him	pno31	him	he	0
agaynst	agaynst	p-acp	against	against	0
all	all	d	all	all	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
seeke	seeke	vvb	seek	seek	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
him	him	pno31	him	he	0
wrong	wrong	n-jn	wrong	wrong	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
ayde	ayde	vvi	aid	aid	0
and	and	cc	and	and	0
helpe	helpe	vvi	help	help	0
him	him	pno31	him	he	0
with	with	p-acp	with	with	0
vitailes	vitailes	n2	victuals	victual	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
want	want	n1	want	want	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
whosoever	whosoever	r-crq	whosoever	whosoever	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
,	,	,	,	,	0
obey	obey	vvb	obey	obey	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
avoyd	avoyd	vvi	avoid	avoid	0
the	the	dt	the	the	0
penaltie	penaltie	n1	penalty	penalty	0
in	in	p-acp	in	in	0
doing	doing	vdg	doing	do	0
the	the	dt	the	the	0
contrary	contrary	j-jn	contrary	contrary	0
.	.	.	.	.	1
Made	Made	j-vvn	Made	make	0
in	in	p-acp	in	in	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
of	of	pp-f	of	of	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
961.	961.	crd	961.	961.	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
holy	holy	j	holy	holy	0
prophet	prophet	n1	prophet	prophet	0
Mahomet	Mahomet	np1	Mahomet	Mahomet	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
1553.	1553.	crd	1553.	1553.	0
signed	signed	vvn	signed	sign	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
scepter	scepter	n1	sceptre	sceptre	0
and	and	cc	and	and	0
signet	signet	n1	signet	signet	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
grand	grand	j	grand	grand	0
Signior	Signior	n1	Signior	signior	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
proper	proper	j	proper	proper	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
ITO	ITO	np1	ITO	Ito	1
