Man	Man	n1	Man	man	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Purser	Purser	n1	Purser	purser	0
,	,	,	,	,	0
and	and	cc	and	and	0
returning	returning	vvg	returning	return	0
againe	againe	av	again	again	0
by	by	p-acp	by	by	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
perrie	perrie	n1	perry	perry	0
of	of	pp-f	of	of	0
winde	winde	n1	wind	wind	0
,	,	,	,	,	0
the	the	dt	the	the	0
boat	boat	n1	boat	boat	0
wherein	wherein	c-crq	wherein	wherein	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
was	was	vbds	was	be	0
drowned	drowned	vvn	drowned	drown	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
master	master	n1	master	master	0
,	,	,	,	,	0
the	the	dt	the	the	0
purser	purser	n1	purser	purser	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
company	company	n1	company	company	0
:	:	:	:	:	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Pilot	Pilot	n1	Pilot	pilot	0
by	by	p-acp	by	by	0
experience	experience	n1	experience	experience	0
in	in	p-acp	in	in	0
swimming	swimming	vvg	swimming	swim	0
saved	saved	vvd	saved	save	0
himselfe	himselfe	px31	himself	himself	0
:	:	:	:	:	0
292	292	crd	292	292	0
these	these	d	these	these	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
beginnings	beginnings	n2	beginnings	beginning	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sorrowes	sorrowes	n2	sorrows	sorrow	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
masters	masters	ng1	master's	master	0
mate	mate	n1	mate	mate	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
proceed	proceed	vvi	proceed	proceed	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
voiage	voiage	n1	voyage	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
owner	owner	n1	owner	owner	0
hearing	hearing	vvg	hearing	hear	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
misfortune	misfortune	n1	misfortune	misfortune	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
unwilling-nesse	unwilling-nesse	j	unwillingness	unwillingness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
masters	masters	ng1	master's	master	0
mate	mate	n1	mate	mate	0
,	,	,	,	,	0
did	did	vdd	did	do	0
send	send	vvi	send	send	0
downe	downe	a-acp	down	down	0
one	one	crd	one	one	0
Richard	Richard	np1	Richard	Richard	0
nm	nm	fw-la	nm	nm	0
ma	ma	fw-fr	ma	ma	0
!	!	!	!	!	0
ter	ter	zz	ter	ter	0
Deimond	Deimond	n1	Deimond	deimond	0
,	,	,	,	,	0
and	and	cc	and	and	0
shipped	shipped	vvd	shipped	ship	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
master	master	n1	master	master	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
did	did	vdd	did	do	0
chuse	chuse	vvi	choose	choose	0
ch°sen-for	ch°sen-for	j	ch°sen-for	ch°sen-for	0
his	his	po31	his	his	0
Mate	Mate	n1	Mate	mate	0
one	one	crd	one	one	0
Andrew	Andrew	np1	Andrew	Andrew	0
Dier	Dier	np1	Dier	Dier	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ship	ship	n1	ship	ship	0
departed	departed	vvd	departed	depart	0
on	on	p-acp	on	on	0
her	her	po31	her	her	0
voiage	voiage	n1	voyage	voyage	0
accordingly	accordingly	av-vvg	accordingly	accord	0
:	:	:	:	:	0
that	that	d	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
16	16	crd	16	16	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
An.	An.	np1	An.	An.	1
1583.	1583.	crd	1583.	1583.	0
she	she	pns31	she	she	0
made	made	vvd	made	make	0
saile	saile	n1	sail	sail	0
from	from	p-acp	from	from	0
Portsmouth	Portsmouth	np1	Portsmouth	Portsmouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
18	18	crd	18	18	0
day	day	n1	day	day	0
then	then	av	then	then	0
next	next	ord	next	next	0
following	following	vvg	following	follow	0
she	she	pns31	she	she	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
Newhaven	Newhaven	np1	Newhaven	Newhaven	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
our	our	po12	our	our	0
saide	saide	j-vvn	said	say	0
last	last	ord	last	last	0
master	master	n1	master	master	0
Dei	Dei	fw-la	Dei	dei	0
-	-	-	-	-	0
new	new	j	new	new	0
mond	mond	np1-n	mond	mond	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
surfeit	surfeit	n1	surfeit	surfeit	0
died	died	vvd	died	die	0
.	.	.	.	.	1
The	The	dt	The	the	0
factors	factors	n2	factors	factor	0
then	then	av	then	then	0
appointed	appointed	vvn	appointed	appoint	0
master	master	n1	master	master	0
te	te	fw-la	te	te	0
•	•	•	•	•	0
the	the	dt	the	the	0
said	said	vvd	said	say	0
Andrew	Andrew	np1	Andrew	Andrew	0
Dier	Dier	np1	Dier	Dier	0
,	,	,	,	,	0
being	being	vbg	being	be	0
then	then	av	then	then	0
masters	masters	vvz	master's	master	0
mate	mate	n1	mate	mate	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
their	their	po32	their	their	0
master	master	n1	master	master	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
voiage	voiage	n1	voyage	voyage	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
did	did	vdd	did	do	0
chuse	chuse	vvi	choose	choose	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
his	his	po31	his	his	0
Mates	Mates	n2	Mates	mate	0
the	the	dt	the	the	0
two	two	crd	two	two	0
quarter	quarter	n1	quarter	quarter	0
masters	masters	n2	master's	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
,	,	,	,	,	0
Peter	Peter	np1	Peter	Peter	0
Austine	Austine	np1	Austine	Austine	0
,	,	,	,	,	0
and	and	cc	and	and	0
Shillabey	Shillabey	np1	Shillabey	Shillabey	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
Purser	Purser	np1	Purser	Purser	0
was	was	vbds	was	be	0
shipped	shipped	vvn	shipped	ship	0
one	one	crd	one	one	0
Richard	Richard	np1	Richard	Richard	0
Burges	Burges	np1	Burges	Burges	0
.	.	.	.	.	1
Afterward	Afterward	av	Afterwards	afterwards	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
8	8	crd	8	8	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
we	we	pns12	we	we	0
made	made	vvd	made	make	0
saile	saile	n1	sail	sail	0
forth	forth	av	forth	forth	0
ward	ward	n1	ward	ward	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
weather	weather	n1	weather	weather	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
driven	driven	vvn	driven	drive	0
backe	backe	av	back	back	0
againe	againe	av	again	again	0
into	into	p-acp	into	into	0
Portesmouth	Portesmouth	np1	Portesmouth	Portesmouth	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
renued	renued	vvd	renewed	renew	0
our	our	po12	our	our	0
victuals	victuals	n2	victuals	victual	0
and	and	cc	and	and	0
other	other	n-jn	other	other	0
necessaries	necessaries	n2-j	necessaries	necessary	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
came	came	vvd	came	come	0
faire	faire	j	fair	fair	0
.	.	.	.	.	1
About	About	p-acp	About	about	0
the	the	dt	the	the	0
29	29	crd	29	29	0
day	day	n1	day	day	0
then	then	av	then	then	0
next	next	ord	next	next	0
following	following	vvg	following	follow	0
we	we	pns12	we	we	0
departed	departed	vvd	departed	depart	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
first	first	ord	first	first	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
by	by	p-acp	by	by	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
contrarie	contrarie	j-jn	contrary	contrary	0
winde	winde	n1	wind	wind	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
driven'to	driven'to	j	driven'to	driven'to	0
Plimmouth	Plimmouth	np1	Plimmouth	Plymouth	0
.	.	.	.	.	1
The	The	dt	The	the	0
18	18	crd	18	18	0
day	day	n1	day	day	0
then	then	av	then	then	0
next	next	ord	next	next	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
we	we	pns12	we	we	0
made	made	vvd	made	make	0
foorthward	foorthward	av-j	forthward	forthward	0
againe	againe	av	again	again	0
,	,	,	,	,	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
weather	weather	n1	weather	weather	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
driven	driven	vvn	driven	drive	0
to	to	p-acp	to	to	0
Falmouth	Falmouth	np1	Falmouth	Falmouth	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
remained	remained	vvd	remained	remain	0
untill	untill	p-acp	until	until	0
the	the	dt	the	the	0
first	first	ord	first	first	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
January	January	np1	January	January	0
:	:	:	:	:	0
at	at	p-acp	at	at	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
comming	comming	vvg	coming	come	0
faire	faire	j	fair	fair	0
,	,	,	,	,	0
we	we	pns12	we	we	0
departed	departed	vvd	departed	depart	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
20	20	crd	20	20	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
moneth	moneth	n1	month	month	0
we	we	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
safely	safely	av-j	safely	safe	0
at	at	p-acp	at	at	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
.	.	.	.	.	1
And	And	cc	And	and	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
9	9	crd	9	9	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
next	next	ord	next	next	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
we	we	pns12	we	we	0
made	made	vvd	made	make	0
saile	saile	n1	sail	sail	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
18	18	crd	18	18	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
moneth	moneth	n1	month	month	0
we	we	pns12	we	we	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
verie	verie	av	very	very	0
well	well	av	well	well	0
intertained	intertained	vvd	entertained	entertain	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
commons	commons	n2	commons	commons	0
.	.	.	.	.	1
The	The	dt	The	the	0
commodities	commodities	n2	commodities	commodity	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
place	place	n1	place	place	0
are	are	vbr	are	be	0
’	’	’	’	’	0
sweete	sweete	j	sweet	sweet	0
oiles	oiles	n2	oils	oil	0
:	:	:	:	:	0
the	the	dt	the	the	0
king	king	n1	king	king	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
merchant	merchant	n1	merchant	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
(	(	(	(	(	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
preferre	preferre	vvi	prefer	prefer	0
himselfe	himselfe	px31	himself	himself	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
commons	commons	n2	commons	commons	0
)	)	)	)	)	0
requested	requested	vvd	requested	request	0
our	our	po12	our	our	0
said	said	j-vvn	said	say	0
factors	factors	n2	factors	factor	0
to	to	pc-acp	to	to	0
traffique	traffique	vvi	traffic	traffic	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
promised	promised	vvd	promised	promise	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
take	take	vvi	take	take	0
his	his	po31	his	his	0
oiles	oiles	n2	oils	oil	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
[	[	[	[	[	0
n	n	wd	n	n	0
.	.	.	.	.	1
i	i	sy	i	i	0
.	.	.	.	.	1
185.	185.	crd	185.	185.	0
]	]	]	]	]	0
owne	owne	d	own	own	0
price	price	n1	price	price	0
,	,	,	,	,	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
pay	pay	vvi	pay	pay	0
no	no	dx	no	no	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
and	and	cc	and	and	0
293	293	crd	293	293	0
Another	Another	j-jn	Another	another	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
Bristow	Bristow	np1	Bristow	Bristol	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
.	.	.	.	.	1
THE	THE	dt	THE	the	0
ENGLISH	ENGLISH	jp	ENGLISH	english	0
VOYAGES	VOYAGES	n2	VOYAGES	voyage	0
they	they	pns32	they	they	0
tooke	tooke	vvd	took	take	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
certaine	certaine	j	certain	certain	0
tunnes	tunnes	n2	tons	ton	0
of	of	pp-f	of	of	0
oile	oile	n1	oil	oil	0
:	:	:	:	:	0
and	and	cc	and	and	0
afterwarde	afterwarde	av	afterward	afterward	0
perceiving	perceiving	vvg	perceiving	perceive	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
farre	farre	av-j	far	far	0
better	better	jc	better	better	0
cheape	cheape	j	cheap	cheap	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
the	the	dt	the	the	0
custome	custome	n1	custom	custom	0
free	free	j	free	free	0
,	,	,	,	,	0
they	they	pns32	they	they	0
desired	desired	vvd	desired	desire	0
the	the	dt	the	the	0
king	king	n1	king	king	0
to	to	pc-acp	to	to	0
licence	licence	vvi	licence	licence	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
oiles	oiles	n2	oils	oil	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
pleasure	pleasure	n1	pleasure	pleasure	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
commons	commons	n2	commons	commons	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
his	his	po31	his	his	0
price	price	n1	price	price	0
did	did	vdd	did	do	0
exceede	exceede	vvi	exceed	exceed	0
theirs	theirs	png32	theirs	they	0
:	:	:	:	:	0
where-unto	where-unto	j	whereunto	whereunto	0
the	the	dt	the	the	0
king	king	n1	king	king	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
agree	agree	vvi	agree	agree	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
was	was	vbds	was	be	0
rather	rather	av	rather	rather	0
contented	contented	vvn	contented	content	0
to	to	pc-acp	to	to	0
abate	abate	vvi	abate	abate	0
his	his	po31	his	his	0
price	price	n1	price	price	0
,	,	,	,	,	0
insomuch	insomuch	av	insomuch	insomuch	0
that	that	cst	that	that	0
the	the	dt	the	the	0
factors	factors	n2	factors	factor	0
bought	bought	vvd	bought	buy	0
all	all	d	all	all	0
their	their	po32	their	their	0
oyles	oyles	n2	oils	oil	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
custome	custome	n1	custom	custom	0
free	free	j	free	free	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
laded	laded	vvn	jaded	jade	0
the	the	dt	the	the	0
same	same	d	same	same	0
aboord	aboord	a-acp	aboard	aboard	0
