Commission	Commission	n1	Commission	commission	0
voyage	voyage	n1	voyage	voyage	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
search	search	n1	search	search	0
and	and	cc	and	and	0
discoveries	discoveries	n2	discoveries	discovery	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
passage	passage	n1	passage	passage	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
from	from	p-acp	from	from	0
hence	hence	av	hence	hence	0
by	by	p-acp	by	by	0
Boroughs	Boroughs	n2	Boroughs	borough	0
streights	streights	n2	straights	strait	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
,	,	,	,	,	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
countreis	countreis	n2	countries	country	0
or	or	cc	or	or	0
dominions	dominions	n2	dominions	dominion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Cities	Cities	n2	Cities	city	0
of	of	pp-f	of	of	0
Cambalu	Cambalu	np1	Cambalu	Cambalu	0
and	and	cc	and	and	0
Quinsay	Quinsay	np1	Quinsay	Quinsay	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
which	which	r-crq	which	which	0
passage	passage	n1	passage	passage	0
(	(	(	(	(	0
upon	upon	p-acp	upon	upon	0
authoritie	authoritie	n1	authority	authority	0
of	of	pp-f	of	of	0
writers	writers	n2	writers	writer	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
reason	reason	n1	reason	reason	0
)	)	)	)	)	0
is	is	vbz	is	be	0
conceived	conceived	vvn	conceived	conceive	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
description	description	n1	description	description	0
in	in	p-acp	in	in	0
plat	plat	n1	plate	plat	0
of	of	pp-f	of	of	0
spirali	spirali	fw-la	spirali	spirali	0
lines	lines	n2	lines	line	0
,	,	,	,	,	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
master	master	n1	master	master	0
William	William	np1	William	William	0
Burrough	Burrough	np1	Burrough	Burrough	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	np1	Pet	Pet	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
,	,	,	,	,	0
have	have	vhb	have	have	0
one	one	pi	one	one	0
delivered	delivered	vvn	delivered	deliver	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
one	one	crd	one	one	0
other	other	n-jn	other	other	0
sailing	sailing	vvg	sailing	sail	0
carde	carde	n1	card	card	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
blanke	blanke	j	blank	blank	0
plat	plat	n1	plate	plat	0
for	for	p-acp	for	for	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
points	points	n2	points	point	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
description	description	n1	description	description	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
hope	hope	vvb	hope	hope	0
that	that	cst	that	that	0
the	the	dt	the	the	0
continent	continent	n1	continent	continent	0
or	or	cc	or	or	0
firme	firme	j	firm	firm	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
stretch	stretch	vvi	stretch	stretch	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
Northwards	Northwards	av	Northwards	northwards	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
a	a	dt	a	a	0
sea	sea	n1	sea	sea	0
passeable	passeable	j	passable	passable	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
70.	70.	crd	70.	70.	0
and	and	cc	and	and	0
80.	80.	crd	80.	80.	0
degrees	degrees	n2	degrees	degree	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
appointed	appointed	vvn	appointed	appoint	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
these	these	d	these	these	0
two	two	crd	two	two	0
barkes	barkes	n2	barks	bark	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
triall	triall	n1	trial	trial	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
wishing	wishing	vvg	wishing	wish	0
you	you	pn22	you	you	0
both	both	d	both	both	0
to	to	pc-acp	to	to	0
joyne	joyne	vvi	join	join	0
in	in	p-acp	in	in	0
friendship	friendship	n1	friendship	friendship	0
together	together	av	together	together	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
most	most	ds	most	most	0
deere	deere	j-jn	deer	dear	0
friends	friends	n2	friends	friend	0
and	and	cc	and	and	0
brothers	brothers	n2	brother's	brother	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
purposes	purposes	n2	purposes	purpose	0
and	and	cc	and	and	0
effects	effects	n2	effects	effect	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
furtherance	furtherance	n1	furtherance	furtherance	0
and	and	cc	and	and	0
orderly	orderly	av-j	orderly	orderly	0
252	252	crd	252	252	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
performing	performing	vvg	performing	perform	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
And	And	cc	And	and	0
likewise	likewise	av	likewise	likewise	0
order	order	vvb	order	order	0
your	your	po22	your	your	0
companies	companies	n2	companies	company	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
one	one	crd	one	one	0
barke	barke	n1	bark	bark	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
such	such	d	such	such	0
love	love	n1	love	love	0
and	and	cc	and	and	0
care	care	n1	care	care	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
and	and	cc	and	and	0
succour	succour	vvi	succour	succour	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
most	most	ds	most	most	0
deere	deere	j-jn	deer	dear	0
friends	friends	n2	friends	friend	0
and	and	cc	and	and	0
brothers	brothers	n2	brother's	brother	0
would	would	vmd	would	will	0
doe	doe	vdi	do	do	0
:	:	:	:	:	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
that	that	cst	that	that	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
two	two	crd	two	two	0
barkes	barkes	n2	barks	bark	0
,	,	,	,	,	0
and	and	cc	and	and	0
two	two	crd	two	two	0
companies	companies	n2	companies	company	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
greater	greater	jc	greater	great	0
comfort	comfort	n1	comfort	comfort	0
and	and	cc	and	and	0
assurance	assurance	n1	assurance	assurance	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
wholy	wholy	av-jn	wholly	whole	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
bend	bend	vvb	bend	bend	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
uttermost	uttermost	j	uttermost	uttermost	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
powers	powers	n2	powers	power	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
both	both	av-d	both	both	0
employed	employed	vvn	employed	employ	0
for	for	p-acp	for	for	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Doe	Doe	vdi	Do	do	0
you	you	pn22	you	you	0
observe	observe	vvb	observe	observe	0
good	good	j	good	good	0
order	order	n1	order	order	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
dayly	dayly	j	daily	daily	0
service	service	n1	service	service	0
,	,	,	,	,	0
and	and	cc	and	and	0
pray	pray	vvb	pray	pray	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
so	so	av	so	so	0
shall	shall	vmb	shall	shall	0
you	you	pn22	you	you	0
prosper	prosper	vvi	prosper	prosper	0
the	the	dt	the	the	0
better	better	jc	better	better	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
We	We	pns12	We	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
meete	meete	vvi	meet	meet	0
often	often	av	often	often	0
together	together	av	together	together	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
talke	talke	vvi	talk	talk	0
,	,	,	,	,	0
conferre	conferre	vvi	confer	confer	0
,	,	,	,	,	0
consult	consult	vvb	consult	consult	0
,	,	,	,	,	0
and	and	cc	and	and	0
agree	agree	vvb	agree	agree	0
how	how	c-crq	how	how	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
meanes	meanes	n2	means	mean	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
best	best	av-js	best	best	0
performe	performe	vvi	perform	perform	0
this	this	d	this	this	0
purposed	purposed	j-vvn	purposed	purpose	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
intents	intents	n2	intents	intent	0
.	.	.	.	.	1
And	And	cc	And	and	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
meeting	meeting	n1	meeting	meeting	0
we	we	pns12	we	we	0
thinke	thinke	vvb	think	think	0
it	it	pn31	it	it	0
requisite	requisite	j	requisite	requisite	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
call	call	vvb	call	call	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
your	your	po22	your	your	0
mates	mates	n2	mates	mate	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
Chanceler	Chanceler	n1	Chancellor	chancellor	0
,	,	,	,	,	0
(	(	(	(	(	0
whom	whom	ro-crq	whom	who	0
wee	wee	pns12	we	we	0
doe	doe	vdb	do	do	0
appoint	appoint	vvi	appoint	appoint	0
as	as	p-acp	as	as	0
merchant	merchant	n1	merchant	merchant	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
accompt	accompt	n1	account	account	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
merchandize	merchandize	n1	merchandise	merchandise	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
buy	buy	vvi	buy	buy	0
or	or	cc	or	or	0
sell	sell	vvi	fell	sell	0
,	,	,	,	,	0
barter	barter	vvb	barter	barter	0
or	or	cc	or	or	0
change	change	n1	change	change	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
that	that	cst	that	that	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
God	God	np1	God	God	0
should	should	vmd	should	shall	0
dispose	dispose	vvi	dispose	dispose	0
of	of	pp-f	of	of	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
some	some	d	some	some	0
instructions	instructions	n2	instructions	instruction	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
howe	howe	c-crq	how	how	0
to	to	pc-acp	to	to	0
deale	deale	vvi	deal	deal	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
place	place	n1	place	place	0
,	,	,	,	,	0
or	or	cc	or	or	0
places	places	n2	places	place	0
.	.	.	.	.	1
And	And	cc	And	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
assemblies	assemblies	n2	assemblies	assembly	0
and	and	cc	and	and	0
consultations	consultations	n2	consultations	consultation	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
matter	matter	n1	matter	matter	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
at	at	p-acp	at	at	0
every	every	d	every	every	0
time	time	n1	time	time	0
agree	agree	vvi	agree	agree	0
upon	upon	p-acp	upon	upon	0
,	,	,	,	,	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
note	note	vvi	note	note	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
paper	paper	n1	paper	paper	0
bookes	bookes	n2	books	book	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
each	each	d	each	each	0
barke	barke	n1	bark	bark	0
one	one	pi	one	one	0
.	.	.	.	.	1
We	We	pns12	We	we	0
do	do	vdb	do	do	0
appoint	appoint	vvi	appoint	appoint	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	n1	Pet	pet	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
George	George	np1	George	George	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Admiral	Admiral	n1	Admiral	admiral	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
weare	weare	vvi	wear	wear	0
the	the	dt	the	the	0
flagge	flagge	n1	flag	flag	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
top	top	n1	top	top	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charles	Charles	np1	Charles	Charles	0
