Here	Here	av	Here	here	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cattie	Cattie	np1	Cattie	Cattie	0
The	The	dt	The	the	0
moone	moone	n1	moon	moon	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Tauraroth	Tauraroth	np1	Tauraroth	Tauraroth	0
A	A	dt	A	a	0
rope	rope	n1	rope	rope	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Arkeano	Arkeano	np1	Arkeano	Arkeano	0
A	A	dt	A	a	0
paire	paire	n1	pair	pair	0
of	of	pp-f	of	of	0
cizers	cizers	n2	cizers	cizer	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Weevah	Weevah	np1	Weevah	Weevah	0
The	The	dt	The	the	0
heaven	heaven	n1	heaven	heaven	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Harowa	Harowa	np1	Harowa	Harowa	0
A	A	dt	A	a	0
stone	stone	n1	stone	stone	0
good	good	j	good	good	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
head	head	n1	head	head	0
ache	ache	vvi	ache	ache	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
211	211	crd	211	211	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
*	*	*	*	*	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
before	before	a-acp	before	before	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
called	called	vvd	called	call	0
Calvorie	Calvorie	n1	Calvorie	calvorie	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
*	*	*	*	*	0
The	The	dt	The	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Orenoque	Orenoque	np1	Orenoque	Orenoque	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
derivedfrom	derivedfrom	av	derivedfrom	derivedfrom	0
this	this	d	this	this	0
word	word	n1	word	word	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Mointiman	Mointiman	np1	Mointiman	Mointiman	0
Yron	Yron	n1	Iron	iron	0
or	or	cc	or	or	0
steele	steele	n1	steel	steel	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Howa	Howa	np1	Howa	Howa	0
Munkeis	Munkeis	n2	Munkeis	munkei	0
in	in	p-acp	in	in	0
general	general	n1	general	general	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Carotta	Carotta	fw-it	Carotta	carotta	0
A	A	dt	A	a	0
thing	thing	n1	thing	thing	0
like	like	av-j	like	like	0
pappe	pappe	n1	pap	pap	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Sakel	Sakel	np1	Sakel	Sakel	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
well	well	av	well	well	0
,	,	,	,	,	0
or	or	cc	or	or	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
well	well	av	well	well	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Techir	Techir	np1	Techir	Techir	0
A	A	dt	A	a	0
bracelet	bracelet	n1	bracelet	bracelet	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Bodad	Bodad	fw-es	Bodad	bodad	0
A	A	dt	A	a	0
boxe	boxe	n1	box	box	0
or	or	cc	or	or	0
chest	chest	n1	chest	chest	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Mentinie	Mentinie	n1	Mentinie	mentinie	0
A	A	dt	A	a	0
tree	tree	n1	tree	tree	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Addehegaeno	Addehegaeno	np1	Addehegaeno	Addehegaeno	0
A	A	dt	A	a	0
glasse	glasse	n1	glass	glass	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
*	*	*	*	*	0
Calcouri	Calcouri	np1	Calcouri	Calcouri	0
Gold	Gold	n1	Gold	gold	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Perota	Perota	np1	Perota	Perota	0
Silver	Silver	np1-n	Silver	silver	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Tacorao	Tacorao	np1	Tacorao	Tacorao	0
a	a	dt	a	a	0
green	green	j-jn	green	green	0
stone	stone	n1	stone	stone	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Arrara	Arrara	np1	Arrara	Arrara	0
copper	copper	n1	copper	copper	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Caulpiri	Caulpiri	fw-la	Caulpiri	caulpiri	0
A	A	dt	A	a	0
white	white	j-jn	white	white	0
stone	stone	n1	stone	stone	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Casparo	Casparo	np1	Casparo	Casparo	0
A	A	dt	A	a	0
sword	sword	n1	sword	sword	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Tibetebe	Tibetebe	fw-ge	Tibetebe	tibetebe	0
cockles	cockles	n2	cockles	cockle	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Marrahabo	Marrahabo	fw-la	Marrahabo	marrahabo	0
a	a	dt	a	a	0
bow	bow	n1	bow	bow	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Semaro	Semaro	np1	Semaro	Semaro	0
an	an	dt	and	a	0
arrow	arrow	n1	arrow	arrow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Huculle	Huculle	n1	Huculle	huculle	0
A	A	dt	A	a	0
bow-string	bow-string	n1	bowstring	bowstring	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Halete	Halete	fw-la	Halete	halete	0
A	A	dt	A	a	0
Potato	Potato	n1	Potato	potato	0
roote	roote	n1	root	root	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Caerwoda	Caerwoda	fw-it	Caerwoda	caerwoda	0
A	A	dt	A	a	0
sweete	sweete	j	sweet	sweet	0
root	root	n1	root	root	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Maurisse	Maurisse	fw-la	Maurisse	maurisse	0
Wheat	Wheat	n1	Wheat	wheat	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Queca	Queca	np1	Queca	Queca	0
A	A	dt	A	a	0
basket	basket	n1	basket	basket	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Yeddola	Yeddola	np1	Yeddola	Yeddola	0
A	A	dt	A	a	0
knife	knife	n1	knife	knife	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Sambolers	Sambolers	n2	Sambolers	samboler	0
A	A	dt	A	a	0
hat	hat	n1	hat	hat	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Beyou	Beyou	vvb	Beyou	beyou	0
A	A	dt	A	a	0
pipe	pipe	n1	pipe	pipe	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Callit	Callit	vvn	Called	call	0
Bread	Bread	n1	Bred	bread	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
*	*	*	*	*	0
Oronuie	Oronuie	n1	Oronuie	oronuie	0
Water	Water	n1	Water	water	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Arguecona	Arguecona	np1	Arguecona	Arguecona	0
A	A	dt	A	a	0
paire	paire	n1	pair	pair	0
of	of	pp-f	of	of	0
cizzers	cizzers	n2	cizzers	cizzer	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Heldaro	Heldaro	fw-it	Heldaro	heldaro	0
A	A	dt	A	a	0
spoone	spoone	n1	spoon	spoon	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Hemachugh	Hemachugh	np1	Hemachugh	Hemachugh	0
A	A	dt	A	a	0
bread	bread	n1	bred	bread	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
eate	eate	vvb	eat	eat	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Hicket	Hicket	n1	Hicket	hicket	0
Fire	Fire	n1	Fire	fire	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Walrowa	Walrowa	np1	Walrowa	Walrowa	0
A	A	dt	A	a	0
parrot	parrot	n1	parrot	parrot	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ureit	Ureit	np1	Ureit	Ureit	0
Tabacco	Tabacco	n1	Tobacco	tobacco	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Barudda	Barudda	np1	Barudda	Barudda	0
A	A	dt	A	a	0
combe	combe	n1	comb	comb	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Addoth	Addoth	np1	Addoth	Addoth	0
A	A	dt	A	a	0
sticke	sticke	n1	stick	stick	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Barrennaire	Barrennaire	np1	Barrennaire	Barrennaire	0
A	A	dt	A	a	0
button	button	n1	button	button	0
,	,	,	,	,	0
or	or	cc	or	or	0
beads	beads	n2	beads	bead	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Curaballa	Curaballa	np1	Curaballa	Curaballa	0
&	&	cc	&	and	0
Sibath	Sibath	np1	Sibath	Sibath	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
2	2	crd	2	2	0
sundry	sundry	j	sundry	sundry	0
stones	stones	n2	stones	stone	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Sibath	Sibath	np1	Sibath	Sibath	0
in	in	p-acp	in	in	0
general	general	n1	general	general	0
signifieth	signifieth	vvz	signifies	signify	0
a	a	dt	a	a	0
stone	stone	n1	stone	stone	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Tolletillero	Tolletillero	n1	Tolletillero	tolletillero	0
bels	bels	n2	bells	bell	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Ullasso	Ullasso	np1	Ullasso	Ullasso	0
a	a	dt	a	a	0
Tuny-fish	Tuny-fish	n1	Tuny-fish	tuny-fish	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Bohery	Bohery	n1	Bohery	bohery	0
A	A	dt	A	a	0
flying	flying	j-vvg	flying	fly	0
fish	fish	n1	fish	fish	0
.	.	.	.	.	1
}	}	}	}	}	0
{	{	{	{	{	0
Bara	Bara	np1	Bara	Bara	0
Water	Water	n1	Water	water	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Haddalle	Haddalle	np1	Haddalle	Haddalle	0
The	The	dt	The	the	0
Sunne	Sunne	n1	Sun	sun	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Babage-Canoaseen	Babage-Canoaseen	j	Babage-Canoaseen	babage-canoaseen	0
The	The	dt	The	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Indians	Indians	njpg2	Indians	indian	0
hailing	hailing	vvg	hailing	hail	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
calling	calling	vvg	calling	call	0
it	it	pn31	it	it	0
after	after	a-acp	after	after	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Canoas	Canoas	npg1	Canoas	canoas	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Non	Non	fw-fr	Non	non	0
quo	quo	fw-la	quo	quo	0
,	,	,	,	,	0
Or	Or	cc	Or	or	0
1	1	crd	1	1	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
,	,	,	,	,	0
Or	Or	cc	Or	or	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Non	Non	fw-fr	Non	non	0
quapa	quapa	fw-la	quapa	quapa	0
21	21	crd	21	21	0
J	J	pns11	J	i	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
tell	tell	vvi	tell	tell	0
.	.	.	.	.	1
2	2	crd	2	2	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	1
